node_from,node_to,n,mean_pred,sd_pred,p_value
Argyranthemum_frutescens,Agromyzidae_sp_1,23,0.9540244310080813,0.030629437230283992,2.579493297705256e-17
Argyranthemum_frutescens,Amegilla_quadrifasciata,8,0.8626149424893593,0.038087722756686176,0.002342315820413373
Argyranthemum_frutescens,Anthophora_alluaudi,84,0.9549929203700399,0.04511994722734515,6.451502196490091e-48
Argyranthemum_frutescens,Blaesoxipha_sp_1,9,0.9509965415919006,0.0590169998666642,5.8754592089109065e-5
Argyranthemum_frutescens,Bracon_sp,14,0.9302699276952365,0.040674398351765596,2.1243348857663196e-8
Argyranthemum_frutescens,Chetogena_acuminata,18,0.9350453535496334,0.06901771348959528,2.1977418829627356e-7
Argyranthemum_frutescens,Chloropidae_sp,5,0.8884918749471922,0.06378040409711964,0.036136100009728896
Argyranthemum_frutescens,Chloropidae_sp_5,14,0.9684435412733958,0.029182236519389147,1.4375569313274295e-11
Argyranthemum_frutescens,Chrysomya_albiceps,42,0.9889592753349523,0.015023697003270968,5.515866784853331e-47
Argyranthemum_frutescens,Dinarmoides_spilopterus,15,0.9635425518239044,0.01083908748186742,3.970006395827872e-18
Argyranthemum_frutescens,Eristalinus_taeniops,10,0.9439899196779964,0.04725693256296707,4.870543045811975e-6
Argyranthemum_frutescens,Estheria_simonyi,8,0.9770559659697342,0.024380790332305762,1.6266111070838512e-7
Argyranthemum_frutescens,Euderus_sp,14,0.9522976060468712,0.053516428665942736,8.642332274636864e-8
Argyranthemum_frutescens,Eumerus_latitarsis,16,0.9751006733806185,0.02644188673130149,5.207908366555609e-14
Argyranthemum_frutescens,Geometridae_sp,6,0.9224805544023101,0.020478007752229934,2.676642873591287e-5
Argyranthemum_frutescens,Leptochilus_eatoni,17,0.9807617922169269,0.03732251627346636,9.799301564721088e-13
Argyranthemum_frutescens,Lucilia_sericata,28,0.9733829604485763,0.037288614328132894,5.0278113481037593e-20
Argyranthemum_frutescens,Malthinus_mutabilis,14,0.9461196803519051,0.04800502020506921,3.9011262158754934e-8
Argyranthemum_frutescens,Musca_domestica,67,0.9490925204002633,0.05527263077897294,3.4637476196284514e-32
Argyranthemum_frutescens,Phthiria_simonyi,14,0.9546521307289694,0.03839576776158629,1.3025829796799534e-9
Argyranthemum_frutescens,Phyto_discrepans,8,0.9476969261891985,0.05024882481037608,7.12469947697029e-5
Argyranthemum_frutescens,Plagiolepis_schmitzii,8,0.9842739628530192,0.03451108360197886,1.3414274267112237e-6
Argyranthemum_frutescens,Sarcophagidae_sp_5,30,0.9609515766226808,0.0429670676240954,8.208443738466704e-19
Argyranthemum_frutescens,Sarcophagidae_sp_8,12,0.9472685095096025,0.04756360062308428,3.655276308676439e-7
