emln_id,train_layer,test_layer,TP,FN,TN,FP,specificity,precision,recall,f1_score,balanced_accuracy,mcc,mse,rmse,nse,nnse
60,1,1,8.18,5.82,10.44,3.56,0.7457142857142857,0.7013691586191586,0.5842857142857143,0.6323900982020922,0.665,0.33821986980524926,55.38122791928249,7.189500781966794,-0.5430026345553352,0.47663169440511405
60,1,2,5.72,3.28,5.42,3.58,0.6022222222222222,0.6159948939948939,0.6355555555555555,0.616675454920037,0.6188888888888889,0.24253968587651326,106.89590444599783,9.968869582135719,-1.7616359607402194,0.4248267393932178
60,1,3,5.26,1.74,4.2,2.8,0.6,0.666080808080808,0.7514285714285714,0.6975601598264137,0.6757142857142857,0.3679535742261407,77.63726782478761,8.392766112142215,-7.766379657968498,0.32781626160721916
60,1,4,2.96,2.04,3.16,1.84,0.632,0.6432857142857142,0.592,0.6025991785991786,0.612,0.23397428039612195,141.40168121776796,11.200782972045493,-41.99713027307183,0.3539100166602854
60,1,5,1.66,1.34,1.28,1.72,0.42666666666666664,0.5136054421768708,0.5533333333333333,0.5296130952380953,0.49,-0.01971403941177141,341.6561310639249,17.03916496860283,-85.91049393279803,0.2874371170821548
60,1,6,3.4,1.6,2.4,2.6,0.48000000000000004,0.5743650793650794,0.68,0.6127128427128428,0.58,0.17653486984198752,212.09584026457057,13.737228106336529,-41.28756716586502,0.26642991264202753
60,1,7,0.96,1.04,1.06,0.94,0.53,0.5038759689922481,0.48,0.6180952380952381,0.505,0.015193428136569102,332.6652970266643,16.874398030658075,-224.04623339523295,0.08226356607097926
60,2,1,7.38,3.62,6.9,4.1,0.6272727272727273,0.6498572261072261,0.6709090909090909,0.6522931597261117,0.649090909090909,0.30616204766749583,87.95208629909044,9.151044959152426,-2.1731164694616587,0.3892104172920154
60,2,2,9.38,9.62,15.22,3.78,0.8010526315789473,0.7276402226944022,0.4936842105263158,0.5813537564829213,0.6473684210526316,0.31638494452904525,57.39586274709394,7.388222821199106,0.005925174725699162,0.521552791335398
60,2,3,5.24,2.76,4.88,3.12,0.61,0.6415151515151515,0.655,0.6385975644582456,0.6325,0.2743701670807788,68.68436191730173,7.684890395422648,-7.041295944807608,0.3351613844504097
60,2,4,3.72,2.28,3.74,2.26,0.6233333333333333,0.6383253968253968,0.62,0.6156797646797646,0.6216666666666666,0.25478896739352974,115.62492010214854,10.069374818126041,-35.02169255743568,0.4443683975410954
60,2,5,2.04,1.96,2.18,1.82,0.545,0.542,0.51,0.5129523809523809,0.5275,0.05736689435850863,283.4586266026425,15.469190868195223,-70.38982025151728,0.35072468592378064
60,2,6,3.04,2.96,3.8,2.2,0.6333333333333333,0.5854444444444444,0.5066666666666667,0.5306314796314796,0.57,0.14547542254692683,146.27527522874448,11.176284822461996,-35.19657791837449,0.3154721547331309
60,2,7,0.76,1.24,1.26,0.74,0.63,0.4782608695652174,0.38,0.6279569892473118,0.505,0.009188037626312482,321.3075222164443,16.684545540220835,-157.9401575907778,0.09788443413996373
60,3,1,4.58,1.42,3.72,2.28,0.62,0.6709126984126984,0.7633333333333333,0.7070967365967366,0.6916666666666667,0.3982736379643395,97.18906028718986,9.380335049323264,-4.339833457834443,0.41191367165293064
60,3,2,4,2,3.86,2.14,0.6433333333333333,0.6695873015873016,0.6666666666666666,0.653946275946276,0.655,0.32219679575652116,102.09639914263498,9.529945802558439,-1.1734904142586138,0.4584080544607023
60,3,3,7.64,11.36,15.96,3.04,0.84,0.7294158341658342,0.40210526315789474,0.5097065193060907,0.6210526315789473,0.2747666418403604,33.01538787540074,5.408055625817569,-0.441452240280583,0.4498466518192644
60,3,4,4.72,4.28,6.5,2.5,0.7222222222222222,0.6678180708180708,0.5244444444444445,0.5758981151287653,0.6233333333333333,0.25812562314910337,53.98493785035525,6.803267728349377,-2.345834515258599,0.466870183908095
60,3,5,2.22,1.78,2.66,1.34,0.665,0.6146666666666667,0.555,0.6130434782608696,0.61,0.22459137825841022,234.64505737918176,13.59618254091121,-19.044220384706332,0.33364415232122596
60,3,6,3.66,2.34,4.02,1.98,0.67,0.6491507936507936,0.61,0.628021978021978,0.64,0.29208552844045577,162.26824079161304,11.287393058103174,-10.372752425499772,0.3275913018503939
60,3,7,1.4,1.6,1.38,1.62,0.45999999999999996,0.4670068027210884,0.4666666666666666,0.4962962962962963,0.4633333333333333,-0.08097688446217673,381.65428633995305,17.916179443869876,-38.00608548722614,0.29658209140632635
60,4,1,3.4,1.6,3.08,1.92,0.616,0.6575873015873016,0.68,0.6507496947496947,0.648,0.3140639520955027,200.51139987023322,13.32743966693011,-17.473943201510654,0.32128048430041056
60,4,2,3.12,1.88,3.24,1.76,0.648,0.6509285714285714,0.624,0.6236461316461316,0.636,0.2847302570701776,180.48155492706306,12.459328846027187,-6.955017860462165,0.38810013191643333
60,4,3,5.96,6.04,8.78,3.22,0.7316666666666667,0.6630425407925408,0.49666666666666665,0.5549556756281214,0.6141666666666666,0.24243073310235994,56.289710010823754,7.027832856048421,-3.671679245652632,0.3496061782749532
60,4,4,5.92,8.08,12.5,1.5,0.8928571428571429,0.8020909090909091,0.4228571428571428,0.5441248373020616,0.6578571428571428,0.35941113733130775,52.90985695628371,6.9375744606349805,-7.578165963231587,0.3628291241006686
