node_from,node_to,n,mean_pred,sd_pred,p_value
Argyranthemum_frutescens,Anthophora_alluaudi,20,0.9673949542719406,0.031763207940646625,1.2168760344495022e-8
Argyranthemum_frutescens,Chetogena_acuminata,5,0.9591618763714957,0.035219670423609316,0.01984115849580748
Argyranthemum_frutescens,Chloropidae_sp_5,5,0.9696558862936003,0.012377597840254455,2.295402099435273e-4
Argyranthemum_frutescens,Chrysomya_albiceps,5,0.9963637260557802,0.004924325494785188,1.6309223800325758e-6
Argyranthemum_frutescens,Dinarmoides_spilopterus,5,0.948251952375275,0.015661644546824793,0.0023271888179617717
Argyranthemum_frutescens,Estheria_simonyi,8,0.9695093107366136,0.024005625122312923,7.844919523050764e-5
Argyranthemum_frutescens,Euderus_sp,8,0.9681608113132265,0.021309732232225626,4.12373219630525e-5
Argyranthemum_frutescens,Eumerus_latitarsis,11,0.9709293127650039,0.02409764134783743,1.981004500112404e-6
Argyranthemum_frutescens,Musca_domestica,22,0.9690864143594031,0.025378141000531776,2.297987272670745e-11
Argyranthemum_frutescens,Phthiria_simonyi,7,0.9539582113370753,0.025648716592304124,0.0014248887209937471
Argyranthemum_frutescens,Sciaridae_sp,6,0.9415249271710455,0.022804008631112236,0.0066380351843821125
Argyranthemum_frutescens,Urelliosoma_guimari,6,0.959987629950221,0.02803610889875479,0.0033508885450285095
Ceballosia_fruticosa,Thysanoptera_sp_1,5,0.9970732557680688,0.0019296146825831886,3.7451263023308524e-8
Ceballosia_fruticosa,Thysanoptera_sp_2,6,0.9941443514948842,0.012687337359815826,9.264548995285731e-6
Ceballosia_fruticosa,Thysanoptera_sp_7,5,0.9929417368357945,0.0035040230429593555,4.839642704850479e-7
Euphorbia_balsamifera_f,Amegilla_quadrifasciata,34,0.9622075232692419,0.030322917755931742,1.5216439345234879e-13
Euphorbia_balsamifera_f,Anaspis_proteus,122,0.9900899116218779,0.01881837353864155,1.769825983093898e-85
Euphorbia_balsamifera_f,Andrena_vulcana,7,0.969854704630905,0.02176031647531046,1.4576443463603126e-4
Euphorbia_balsamifera_f,Anthophora_alluaudi,81,0.9795470613347345,0.025835847687605943,9.129168939028819e-43
Euphorbia_balsamifera_f,Anthophora_orotavae,17,0.9589706471139837,0.029019893224705974,3.028902019540944e-7
Euphorbia_balsamifera_f,Attagenus_wollastoni,8,0.9524930290142202,0.033060708104284124,0.0028289864291118354
Euphorbia_balsamifera_f,Attalus_obscurus,7,0.9964423857686846,0.004989169301102287,3.749378241081889e-9
Euphorbia_balsamifera_f,Bracon_sp,5,0.9704882053653694,0.026497581127828004,0.00400748852453246
Euphorbia_balsamifera_f,Chalicodoma_sicula,5,0.9689935965805824,0.02033939879248703,0.0016203462324604937
Euphorbia_balsamifera_f,Chloropidae_sp_5,5,0.9239131746188166,0.01814664987158736,0.042110230648476035
Euphorbia_balsamifera_f,Coccinella_miranda,5,0.9589554682414249,0.041587644262804035,0.03386123213869611
Euphorbia_balsamifera_f,Dinarmoides_spilopterus,5,0.9628678601423327,0.03840650568798776,0.02157585278046662
Euphorbia_balsamifera_f,Eristalis_tenax,6,0.9395299627337321,0.014390233559839182,0.0010989692543731612
Euphorbia_balsamifera_f,Eucera_gracilipes,8,0.940719406000758,0.030043645707111162,0.006428650389277635
Euphorbia_balsamifera_f,Euderus_sp,7,0.9386451080319056,0.017937686631121864,0.0012601806183515495
Euphorbia_balsamifera_f,Eumerus_nivariae,5,0.9524893235243923,0.014340299278555155,0.0012137502316635041
Euphorbia_balsamifera_f,Hylaeus_hohmanni,10,0.9819247291459295,0.014553678554035053,2.530011703273614e-8
Euphorbia_balsamifera_f,Lasioglossum_loetum,38,0.9680982052455215,0.027708047628739088,1.9096407165495118e-17
Euphorbia_balsamifera_f,Leptochilus_cruentatus,5,0.9445760486223376,0.029007135237498063,0.02638472433112931
Euphorbia_balsamifera_f,Meligethes_canariensis,8,0.9599995786245593,0.022855001414722045,1.4625094689832137e-4
Euphorbia_balsamifera_f,Myopites_nigrescens,8,0.9864215514187817,0.009217315030025944,2.7762178460616915e-8
Euphorbia_balsamifera_f,Phthiria_simonyi,13,0.9796011678117528,0.025494887912100882,9.820765435278188e-8
Euphorbia_balsamifera_f,Sapromyza_sp,5,0.9613806445220363,0.009411030206380256,1.2857096912308053e-4
Euphorbia_balsamifera_f,Scaeva_albomaculata,9,0.9486247131682405,0.02440191474740832,3.3143755078256514e-4
Euphorbia_balsamifera_f,Scenopinus_sp,9,0.9731733586067037,0.024646394767240367,2.0004028878730496e-5
Euphorbia_balsamifera_f,Syritta_pipiens,6,0.9364863229594345,0.020557513137273754,0.0073768654237333885
Euphorbia_balsamifera_f,Thomisus_cf_onustus,7,0.9689926369065414,0.03258830235375864,0.0013791964851222298
Euphorbia_balsamifera_f,Thysanoptera_sp_2,79,0.9864070654663596,0.02312919338395159,8.894635650764282e-48
Euphorbia_balsamifera_f,Thysanoptera_sp_3,17,0.9775902704211136,0.01917890699461623,1.5389943716062175e-11
Euphorbia_balsamifera_f,Thysanoptera_sp_7,6,0.9927985936713517,0.008231705486959909,1.1656948455464035e-6
Euphorbia_balsamifera_f,Urelliosoma_guimari,24,0.9731693186325652,0.028925439177726806,1.159821141960894e-11
Euphorbia_balsamifera_m,Amegilla_quadrifasciata,36,0.9968242730765989,0.006471384437962849,5.703070582254892e-43
Euphorbia_balsamifera_m,Andrena_vulcana,13,0.9996677158784824,4.113542138014873e-4,3.409091669280843e-30
Euphorbia_balsamifera_m,Anthophora_alluaudi,115,0.9944502096009343,0.017364337445480472,9.8954877516327e-87
Euphorbia_balsamifera_m,Anthophora_orotavae,21,0.9939295585983232,0.021167658033882167,7.864809738928587e-15
Euphorbia_balsamifera_m,Blaesoxipha_sp_1,8,0.9999694638820474,3.099952861821702e-5,5.027756329236625e-26
Euphorbia_balsamifera_m,Chetogena_acuminata,38,0.9968926727134307,0.009700217795970419,6.962482114349073e-39
Euphorbia_balsamifera_m,Chloropidae_sp_1,6,0.9994469564170988,8.039314656481494e-4,7.430408849735773e-12
Euphorbia_balsamifera_m,Chloropidae_sp_5,6,0.9804885846026945,0.027498451465382465,8.208875932976257e-4
Euphorbia_balsamifera_m,Eristalinus_aeneus,9,0.9782590982646051,0.0337056794699302,1.1659094336026961e-4
Euphorbia_balsamifera_m,Eristalinus_taeniops,17,0.9942648819615189,0.01693816367440418,1.138918509643692e-13
Euphorbia_balsamifera_m,Eristalis_tenax,6,0.9878042342355577,0.016355711373996065,4.54104592662187e-5
Euphorbia_balsamifera_m,Eucera_gracilipes,8,0.9995000354151787,0.0012023713401471013,6.8595445683424165e-15
Euphorbia_balsamifera_m,Euderus_sp,8,0.9874053375439829,0.021113020886916627,7.494365344569333e-6
Euphorbia_balsamifera_m,Eurytoma_sp_1,7,0.999405490138494,4.7563342206395875e-4,2.361343899401667e-15
Euphorbia_balsamifera_m,Hylaeus_hohmanni,13,0.9915293538863494,0.02729254154348719,4.4423661095350945e-8
Euphorbia_balsamifera_m,Leptochilus_cruentatus,6,0.9968256411919416,0.004996365313174054,7.837579295807746e-8
