emln_id,train_layer,test_layer,prop_ones_removed,amount_of_removed_1,amount_of_removed_0,prop_0_removed,k,lambda,original_links,predicted_values,node_to,node_from,removed,itr,predicted_prob_sigm,predicted_bin_sigm
25,1,1,0.2,27,27,0.015625,2,0.1,1,-8.665840716972151e-17,Augochlora_(Oxystoglossella)_sp._2,Cuphea_ericoides,1,1,0.5,0
25,1,1,0.2,27,27,0.015625,2,0.1,1,-8.080345523209641e-17,Camponotus_crassus,Aspilia_jolyana,1,1,0.5,0
25,1,1,0.2,27,27,0.015625,2,0.1,1,-2.59777212850651e-17,Chlorostilbon_lucidus,Camptosema_isopetalum,1,1,0.5,0
25,1,1,0.2,27,27,0.015625,2,0.1,1,-0.0118051528406614,Cerambycidae_sp.,Paepalanthus_bromelioides,1,1,0.4970487460640524,0
25,1,1,0.2,27,27,0.015625,2,0.1,1,0.131318090337466,Chlorostilbon_lucidus,Declieuxia_fruticosa,1,1,0.5327824265671199,1
25,1,1,0.2,27,27,0.015625,2,0.1,1,0,Alticini_sp._1,Paepalanthus_bromelioides,1,1,0.5,0
25,1,1,0.2,27,27,0.015625,2,0.1,1,0,Cauliognathus_sp._2,Paepalanthus_bromelioides,1,1,0.5,0
25,1,1,0.2,27,27,0.015625,2,0.1,1,0.097775300638177,Bombus_pauloensis,Aspilia_jolyana,1,1,0.5244243701584436,1
25,1,1,0.2,27,27,0.015625,2,0.1,1,0,Plecia_sp.,Paepalanthus_bromelioides,1,1,0.5,0
25,1,1,0.2,27,27,0.015625,2,0.1,1,-8.02279924008146e-17,Coelioxys_sp.,Cuphea_ericoides,1,1,0.5,0
25,1,1,0.2,27,27,0.015625,2,0.1,1,0.0893787331578187,Colibri_serrirostris,Vochysia_thyrsoidea,1,1,0.5223298200131954,1
25,1,1,0.2,27,27,0.015625,2,0.1,1,2.71095463544165e-17,Diptera_sp._2,Paepalanthus_bromelioides,1,1,0.5,0
25,1,1,0.2,27,27,0.015625,2,0.1,1,0.0948995139099394,Trigona_spinipes,Vellozia_albiflora,1,1,0.5237070891395805,1
25,1,1,0.2,27,27,0.015625,2,0.1,1,4.7909636649937e-4,Cerambycidae_sp.,Richterago_arenaria,1,1,0.5001197740893338,1
