emln_id,train_layer,test_layer,specificity,precision,recall,f1_score,balanced_accuracy,mcc,train_layer_name,test_layer_name,diagonal
25,1,1,0.407407407,0.406141985,0.4,0.402067452,0.403703704,-0.193355311,Cedro,Cedro,TRUE
25,1,2,0.261290323,0.510883203,0.767741935,0.61310986,0.514516129,0.029346818,Cedro,Elefante,FALSE
25,1,3,0.388888889,0.321829997,0.277777778,0.296075793,0.333333333,-0.338250462,Cedro,Tinkerbell,FALSE
25,1,4,0.334782609,0.498321695,0.647826087,0.562002061,0.491304348,-0.024342171,Cedro,Soizig,FALSE
25,1,5,0.208571429,0.453158527,0.654285714,0.535194204,0.431428571,-0.155781867,Cedro,Paulino,FALSE
25,1,6,0.193548387,0.478387203,0.738709677,0.580595626,0.466129032,-0.082596332,Cedro,Gigante,FALSE
25,1,7,0.266666667,0.507482919,0.75,0.60481813,0.508333333,0.013202563,Cedro,Midway,FALSE
25,2,2,0.341935484,0.459128421,0.55483871,0.502077809,0.448387097,-0.107383719,Elefante,Elefante,TRUE
25,2,3,0.377777778,0.381886825,0.383333333,0.382359051,0.380555556,-0.239277034,Elefante,Tinkerbell,FALSE
25,2,4,0.243478261,0.490408087,0.726086957,0.584828297,0.484782609,-0.038523125,Elefante,Soizig,FALSE
25,2,5,0.374285714,0.506480726,0.628571429,0.559431387,0.501428571,-7.67E-04,Elefante,Paulino,FALSE
25,2,6,0.4,0.493292183,0.577419355,0.531344588,0.488709677,-0.024604004,Elefante,Gigante,FALSE
25,2,7,0.254166667,0.545696234,0.879166667,0.672156167,0.566666667,0.141294569,Elefante,Midway,FALSE
25,3,3,0.616666667,0.415509491,0.25,0.308306526,0.433333333,-0.136260617,Tinkerbell,Tinkerbell,TRUE
25,3,4,0.395652174,0.44791937,0.47826087,0.460992386,0.436956522,-0.129114068,Tinkerbell,Soizig,FALSE
25,3,5,0.334285714,0.504705653,0.674285714,0.576686951,0.504285714,0.00707763,Tinkerbell,Paulino,FALSE
25,3,6,0.174193548,0.453352161,0.680645161,0.543685746,0.427419355,-0.175617602,Tinkerbell,Gigante,FALSE
25,3,7,0.333333333,0.505617515,0.670833333,0.575557001,0.502083333,-2.48E-04,Tinkerbell,Midway,FALSE
25,4,4,0.395652174,0.368440341,0.347826087,0.357011372,0.37173913,-0.25692531,Soizig,Soizig,TRUE
25,4,5,0.282857143,0.457357908,0.6,0.518541004,0.441428571,-0.126565456,Soizig,Paulino,FALSE
25,4,6,0.24516129,0.441217558,0.593548387,0.505757889,0.419354839,-0.174307834,Soizig,Gigante,FALSE
25,4,7,0.345833333,0.473008813,0.583333333,0.522027876,0.464583333,-0.074530164,Soizig,Midway,FALSE
25,5,5,0.514285714,0.535032506,0.554285714,0.543875024,0.534285714,0.068660458,Paulino,Paulino,TRUE
25,5,6,0.377419355,0.455246436,0.516129032,0.483261038,0.446774194,-0.108809279,Paulino,Gigante,FALSE
25,5,7,0.3875,0.537367114,0.704166667,0.608785592,0.545833333,0.09449363,Paulino,Midway,FALSE
25,6,6,0.309677419,0.354347796,0.377419355,0.365160047,0.343548387,-0.314448369,Gigante,Gigante,TRUE
25,6,7,0.445833333,0.580383004,0.75,0.652870371,0.597916667,0.202752076,Gigante,Midway,FALSE
25,7,7,0.383333333,0.472646512,0.541666667,0.503513349,0.4625,-0.080137955,Midway,Midway,TRUE
