"","1","2","3","4","5","6"
"1",NA,1,2,3,4,5
"2",1,NA,1,2,3,4
"3",2,1,NA,1,2,3
"4",3,2,1,NA,1,2
"5",4,3,2,1,NA,1
"6",5,4,3,2,1,NA
