emln_id,layers_to_train,layer_to_predict,TP,TN,FP,FN,specificity,precision,recall,f1_score,best_balanced_accuracy,prop_ones_to_remove,prop_zeros_to_remove,
25,1,1,6,15,2,21,0.882352941,0.75,0.222222222,0.342857143,0.581699346,0.2,0.01,
25,1,2,2,21,2,29,0.913043478,0.5,0.064516129,0.114285714,0.558906031,0.2,0.01,
25,1,3,0,12,0,18,1,0,0,0,0.527777778,0.2,0.01,
25,1,4,2,13,1,21,0.928571429,0.666666667,0.086956522,0.153846154,0.630434783,0.2,0.01,
25,1,5,4,20,0,31,1,1,0.114285714,0.205128205,0.585714286,0.2,0.01,
25,1,6,3,20,0,28,1,1,0.096774194,0.176470588,0.580645161,0.2,0.01,
25,1,7,6,11,1,18,0.916666667,0.857142857,0.25,0.387096774,0.645833333,0.2,0.01,
25,2,1,4,16,1,23,0.941176471,0.8,0.148148148,0.25,0.648148148,0.2,0.01,
25,2,2,4,18,5,27,0.782608696,0.444444444,0.129032258,0.2,0.639551192,0.2,0.01,
25,2,3,3,11,1,15,0.916666667,0.75,0.166666667,0.272727273,0.583333333,0.2,0.01,
25,2,4,1,11,3,22,0.785714286,0.25,0.043478261,0.074074074,0.586956522,0.2,0.01,
25,2,5,8,19,1,27,0.95,0.888888889,0.228571429,0.363636364,0.621428571,0.2,0.01,
25,2,6,2,20,0,29,1,1,0.064516129,0.121212121,0.564516129,0.2,0.01,
25,2,7,5,12,0,19,1,1,0.208333333,0.344827586,0.604166667,0.2,0.01,
25,3,1,3,16,1,24,0.941176471,0.75,0.111111111,0.193548387,0.563180828,0.2,0.01,
25,3,2,4,23,0,27,1,1,0.129032258,0.228571429,0.596774194,0.2,0.01,
25,3,3,0,12,0,18,1,0,0,0,0.527777778,0.2,0.01,
25,3,4,4,14,0,19,1,1,0.173913043,0.296296296,0.608695652,0.2,0.01,
25,3,5,4,16,4,31,0.8,0.5,0.114285714,0.186046512,0.535714286,0.2,0.01,
25,3,6,3,20,0,28,1,1,0.096774194,0.176470588,0.564516129,0.2,0.01,
25,3,7,4,12,0,20,1,1,0.166666667,0.285714286,0.6875,0.2,0.01,
25,4,1,2,17,0,25,1,1,0.074074074,0.137931034,0.592592593,0.2,0.01,
25,4,2,5,23,0,26,1,1,0.161290323,0.277777778,0.580645161,0.2,0.01,
25,4,3,3,12,0,15,1,1,0.166666667,0.285714286,0.666666667,0.2,0.01,
25,4,4,4,12,2,19,0.857142857,0.666666667,0.173913043,0.275862069,0.608695652,0.2,0.01,
25,4,5,8,19,1,27,0.95,0.888888889,0.228571429,0.363636364,0.603571429,0.2,0.01,
25,4,6,6,20,0,25,1,1,0.193548387,0.324324324,0.612903226,0.2,0.01,
25,4,7,4,12,0,20,1,1,0.166666667,0.285714286,0.625,0.2,0.01,
25,5,1,4,15,2,23,0.882352941,0.666666667,0.148148148,0.242424242,0.592592593,0.2,0.01,
25,5,2,5,21,2,26,0.913043478,0.714285714,0.161290323,0.263157895,0.575035063,0.2,0.01,
25,5,3,1,12,0,17,1,1,0.055555556,0.105263158,0.583333333,0.2,0.01,
25,5,4,4,12,2,19,0.857142857,0.666666667,0.173913043,0.275862069,0.572981366,0.2,0.01,
25,5,5,6,18,2,29,0.9,0.75,0.171428571,0.279069767,0.614285714,0.2,0.01,
25,5,6,5,19,1,26,0.95,0.833333333,0.161290323,0.27027027,0.62016129,0.2,0.01,
25,5,7,4,12,0,20,1,1,0.166666667,0.285714286,0.625,0.2,0.01,
25,6,1,4,16,1,23,0.941176471,0.8,0.148148148,0.25,0.555555556,0.2,0.01,
25,6,2,1,23,0,30,1,1,0.032258065,0.0625,0.580645161,0.2,0.01,
25,6,3,0,12,0,18,1,0,0,0,0.555555556,0.2,0.01,
25,6,4,4,14,0,19,1,1,0.173913043,0.296296296,0.586956522,0.2,0.01,
25,6,5,4,19,1,31,0.95,0.8,0.114285714,0.2,0.614285714,0.2,0.01,
25,6,6,5,19,1,26,0.95,0.833333333,0.161290323,0.27027027,0.596774194,0.2,0.01,
25,6,7,7,12,0,17,1,1,0.291666667,0.451612903,0.645833333,0.2,0.01,
25,7,1,5,17,0,22,1,1,0.185185185,0.3125,0.611111111,0.2,0.01,
25,7,2,1,22,1,30,0.956521739,0.5,0.032258065,0.060606061,0.564516129,0.2,0.01,
25,7,3,3,12,0,15,1,1,0.166666667,0.285714286,0.611111111,0.2,0.01,
25,7,4,2,14,0,21,1,1,0.086956522,0.16,0.586956522,0.2,0.01,
25,7,5,7,20,0,28,1,1,0.2,0.333333333,0.628571429,0.2,0.01,
25,7,6,4,19,1,27,0.95,0.8,0.129032258,0.222222222,0.612903226,0.2,0.01,
25,7,7,8,12,0,16,1,1,0.333333333,0.5,0.6875,0.2,0.01,
25,7,7,18,2,10,6,0.1666667,0.6428571,0.75,0.6923077,0.4583333,0.2,0.01,here I set the threshold to other than zero
