"k","lambda","original_links","predicted_values","node_to","node_from","removed"
2,0.01,0,0.0032212471598628,"Hesperiinae_sp.","Lessingianthus_pycnostachyus",1
2,0.01,0,-8.55523272001944e-29,"Papilionidae_sp.","Luxemburgia_villosa",1
2,0.01,0,0.0122269197284319,"Centris_(Hemisielaa)_tarsata","Jacaranda_caroba",1
2,0.01,0,0.113399879225047,"Alticini_sp._1","Jacaranda_caroba",1
2,0.01,0,0.0247855796046525,"Ceratina_(Crewella)_asuncionis","Ouratea_floribunda",1
2,0.01,0,-5.00232940605518e-37,"Megachile_cf_(Dactylomegachile)_sp.","Myrcia_guianensis",1
2,0.01,0,0,"Elateridae_sp._1","Byrsonima_variabilis",1
2,0.01,0,0.0299074510461177,"Papilionidae_sp.","Lessingianthus_pycnostachyus",1
2,0.01,0,-1.32132098629319e-33,"Coelioxys_sp.","Byrsonima_variabilis",1
2,0.01,0,1.36123832233182e-30,"Alticini_sp._1","Luxemburgia_villosa",1
2,0.01,0,-1.65268373463092e-18,"Eullaema_nigrita","Stachytarpheta_linearis",1
2,0.01,0,-7.81449266305255e-20,"Augochlora_(Oxystoglossella)_sp._2","Trigonia_cipoensis",1
2,0.01,0,1.64607166792413e-21,"Diptera_sp._2","Hypenia_macrantha",1
2,0.01,0,0,"Eumolpini_sp._4","Aspilia_jolyana",1
2,0.01,0,0.0472194991650972,"Cauliognathus_sp._2","Richterago_arenaria",1
2,0.01,0,0.00228481437018003,"Unidentified_Lepidoptera_sp._7","Convolvulacea_sp.",1
2,0.01,0,0,"Sibinia_sp.","Trigonia_cipoensis",1
2,0.01,0,0,"Augochloropsis_sp._3","Stachytarpheta_confertifolia",1
2,0.01,0,0,"Madopterini_sp.","Declieuxia_fruticosa",1
2,0.01,0,-0.0018416197714825,"Augochloropsis_sp._3","Aspilia_jolyana",1
2,0.01,0,0.000254150301151439,"Megachile_(Moureapis)_cf_anthidioides","Trigonia_cipoensis",1
2,0.01,0,-0.000323758072404099,"Megachile_(Moureapis)_cf_anthidioides","Rynchospora_consanguinea",1
2,0.01,0,0.00214525313738886,"Brachygastra_lecheguana","Stachytarpheta_linearis",1
2,0.01,0,0.000316314340890575,"Augochloropsis_sp._3","Malpigaceae_sp.",1
2,0.01,0,-1.42916431978121e-17,"Cerambycidae_sp.","Sabicea_brasiliensis",1
2,0.01,0,0.0691802763760494,"Cephalotes_pusillus","Trigonia_cipoensis",1
2,0.01,0,-6.59991435876092e-19,"Melipona_sp._1","Trigonia_cipoensis",1
2,0.01,0,0.00282873112924149,"Megachile_sp.","Stachytarpheta_linearis",1
2,0.01,0,4.09212248958848e-54,"Toxophorinae_sp._2","Byrsonima_variabilis",1
2,0.01,0,0,"Xylocopa_sp._2","Vellozia_albiflora",1
2,0.01,0,0,"Neodexiopsis_sp.","Vellozia_albiflora",1
2,0.01,0,-0.000749089554185783,"Bombus_pauloensis","Mimosa_sp.",1
2,0.01,0,-0.00947630688561502,"Bombus_pauloensis","Convolvulacea_sp.",1
2,0.01,0,6.67843705018823e-17,"Pseudagapostemon_sp._1","Rynchospora_consanguinea",1
2,0.01,0,0.348937150545449,"Diptera_sp._2","Convolvulacea_sp.",1
2,0.01,0,-1.55472424498511e-33,"Satyrinae_sp.","Camptosema_isopetalum",1
2,0.01,0,3.61616280419205e-19,"Pteromalidae_sp._1","Declieuxia_fruticosa",1
2,0.01,0,0.00881152258767149,"Cauliognathini_sp._1","Palicourea_rigida",1
2,0.01,0,3.70328455857303e-17,"Augochlora_(Oxystoglossella)_sp._2","Rynchospora_consanguinea",1
2,0.01,0,0,"Protomydas_sp.","Malpigaceae_sp.",1
2,0.01,0,-1.26690948586338e-17,"Exomalopsis_sp._1","Ouratea_floribunda",1
2,0.01,0,1.99638274247389e-18,"Melipona_sp._1","Ouratea_floribunda",1
2,0.01,0,0,"Madopterini_sp.","Jacaranda_caroba",1
2,0.01,0,-9.54930025751402e-51,"Eullaema_nigrita","Myrcia_guianensis",1
2,0.01,0,0.226563389505385,"Plecia_sp.","Jacaranda_caroba",1
2,0.01,0,1.23664754107737e-30,"Sciara_sp.","Luxemburgia_villosa",1
2,0.01,0,-4.99594635636352e-37,"Heliactin_bilophus","Hypenia_macrantha",1
2,0.01,0,0.00463646174139661,"Aellopos_sp.","Malpigaceae_sp.",1
2,0.01,0,0,"Protomydas_sp.","Jacaranda_caroba",1
2,0.01,0,0.443378669414133,"Cephalotes_pusillus","Jacaranda_caroba",1
2,0.01,0,-1.159833319436e-18,"Xylocopa_sp._2","Trigonia_cipoensis",1
2,0.01,0,0.181394128726538,"Sciara_sp.","Mimosa_sp.",1
2,0.01,0,0,"Diptera_sp._2","Stachytarpheta_confertifolia",1
2,0.01,0,-1.08777156810633e-17,"Vanessa_sp.","Richterago_arenaria",1
2,0.01,0,0,"Myzinum_sp.","Lessingianthus_pycnostachyus",1
2,0.01,0,-4.21913681632104e-16,"Plecia_sp.","Byrsonima_variabilis",1
2,0.01,0,-2.37215392844049e-17,"Eullaema_nigrita","Richterago_arenaria",1
2,0.01,0,-2.36619231498613e-33,"Pseudagapostemon_sp._1","Declieuxia_fruticosa",1
2,0.01,0,0.00283239356059444,"Unidentified_Lepidoptera_sp._7","Malpigaceae_sp.",1
2,0.01,0,6.18943982543615e-37,"Madarini_sp._2","Lessingianthus_pycnostachyus",1
2,0.01,0,-1.33483317898178e-30,"Trichodes_sp.","Luxemburgia_villosa",1
2,0.01,0,-3.46122612552344e-18,"Cerambycidae_sp.","Camptosema_isopetalum",1
2,0.01,0,0,"Heliactin_bilophus","Solanum_sp.",1
2,0.01,0,-1.59571056930463e-35,"Coelioxys_sp.","Declieuxia_fruticosa",1
2,0.01,0,4.27344528429975e-18,"Xylocopa_sp._1","Stachytarpheta_linearis",1
2,0.01,0,-5.17862308054063e-38,"Madarini_sp._2","Trigonia_cipoensis",1
2,0.01,0,0,"Xylocopa_sp._1","Solanum_sp.",1
2,0.01,0,0,"Nitidulidae_sp._2","Myrcia_guianensis",1
2,0.01,0,0,"Palpada_sp.","Cuphea_ericoides",1
2,0.01,0,0.00519596246773263,"Alticini_sp._2","Stachytarpheta_linearis",1
2,0.01,0,0.181716183256783,"Neodexiopsis_sp.","Mimosa_sp.",1
2,0.01,0,1.99817114368798e-37,"Madarini_sp._2","Malpigaceae_sp.",1
2,0.01,0,0.00262171443582351,"Unidentified_Lepidoptera_sp._7","Jacaranda_caroba",1
2,0.01,0,3.77045412864534e-19,"Cauliognathini_sp._1","Declieuxia_fruticosa",1
2,0.01,0,0.0935126608285273,"Campylopterus_largipennis","Lessingianthus_pycnostachyus",1
2,0.01,0,0,"Brachygastra_lecheguana","Vellozia_albiflora",1
2,0.01,0,-0.000665786525902555,"Papilionidae_sp.","Trigonia_cipoensis",1
2,0.01,0,0,"Elateridae_sp._1","Mimosa_sp.",1
2,0.01,0,0.000710325214798247,"Papilionidae_sp.","Mimosa_sp.",1
2,0.01,0,0,"Xylocopa_sp._5","Palicourea_rigida",1
2,0.01,0,1.67732149285519,"Camponotus_crassus","Vochysia_thyrsoidea",1
2,0.01,0,-1.14385532280078e-16,"Trichodes_sp.","Byrsonima_variabilis",1
2,0.01,0,0,"Augochlora_(Oxystoglossella)_sp._2","Solanum_sp.",1
2,0.01,0,4.19184948216819e-39,"Centris_(Hemisielaa)_tarsata","Turnera_hilaireana",1
2,0.01,0,0,"Sibinia_sp.","Vochysia_thyrsoidea",1
2,0.01,0,0,"Eumolpini_sp._4","Lessingianthus_pycnostachyus",1
2,0.01,0,1.06368695551953e-37,"Deopalpus_sp.","Turnera_hilaireana",1
2,0.01,0,0,"Sibinia_sp.","Palicourea_rigida",1
2,0.01,0,0.302235323794535,"Cerambycidae_sp.","Malpigaceae_sp.",1
2,0.01,0,-3.18122782924703e-18,"Ceratina_(Crewella)_sp._2","Sabicea_brasiliensis",1
2,0.01,0,0.0106914341637741,"Centris_(Hemisielaa)_tarsata","Convolvulacea_sp.",1
2,0.01,0,0.987293787768784,"Ceratina_(Crewella)_asuncionis","Cuphea_ericoides",1
2,0.01,0,-4.24843547833346e-20,"Anthidini_sp.","Declieuxia_fruticosa",1
2,0.01,0,-2.55275788513852e-52,"Megachile_(Pseudocentron)_sp._1","Paepalanthus_sp._1",1
2,0.01,0,0,"Xylocopa_sp._5","Stachytarpheta_confertifolia",1
2,0.01,0,0.000250976489932976,"Megachile_(Moureapis)_cf_anthidioides","Palicourea_rigida",1
2,0.01,0,0,"Augochloropsis_sp._1","Solanum_sp.",1
2,0.01,0,3.55584255108041e-19,"Cauliognathus_sp._2","Declieuxia_fruticosa",1
2,0.01,0,2.02192873785571e-19,"Coelioxys_sp.","Mimosa_sp.",1
2,0.01,0,1.65004350492195e-16,"Satyrinae_sp.","Jacaranda_caroba",1
2,0.01,0,0,"Madopterini_sp.","Luxemburgia_villosa",1
2,0.01,0,0,"Anthidini_sp.","Vellozia_albiflora",1
2,0.01,0,-6.48758809664696e-37,"Centris_(Hemisielaa)_tarsata","Myrcia_guianensis",1
2,0.01,0,0,"Palpada_sp.","Malpigaceae_sp.",1
2,0.01,0,-3.7398299265828e-17,"Eullaema_nigrita","Cuphea_ericoides",1
2,0.01,0,0.77654013250726,"Ceratina_(Crewella)_asuncionis","Mimosa_sp.",1
2,0.01,0,-0.109300025629254,"Sciara_sp.","Aspilia_jolyana",1
2,0.01,0,0,"Protomydas_sp.","Lessingianthus_pycnostachyus",1
2,0.01,0,-0.00503836657574131,"Nitidulidae_sp._1","Vochysia_thyrsoidea",1
2,0.01,0,0.163949764351055,"Dialictus_(Chloralictus)_sp._1","Stachytarpheta_linearis",1
2,0.01,0,-0.0224493331701792,"Alticini_sp._1","Rynchospora_consanguinea",1
2,0.01,0,-0.145835373029745,"Plecia_sp.","Aspilia_jolyana",1
2,0.01,0,0,"Nitidulidae_sp._2","Sabicea_brasiliensis",1
2,0.01,0,0,"Xylocopa_sp._5","Turnera_hilaireana",1
2,0.01,0,0,"Nitidulidae_sp._2","Malpigaceae_sp.",1
2,0.01,0,0,"Elateridae_sp._1","Sabicea_brasiliensis",1
2,0.01,0,3.38285690469665e-36,"Lepidoptera_(microlepidoptera)","Myrcia_guianensis",1
2,0.01,0,-6.90458503304438e-15,"Apis_mellifera","Byrsonima_variabilis",1
2,0.01,0,-3.22391250536254e-19,"Cauliognathus_sp._2","Camptosema_isopetalum",1
2,0.01,0,-2.25735212937103e-51,"Cephalotes_pusillus","Paepalanthus_sp._1",1
2,0.01,0,2.07238224451927e-38,"Cauliognathus_sp._2","Turnera_hilaireana",1
2,0.01,0,0,"Chilicola_(Prosopoides)_sp.","Solanum_sp.",1
2,0.01,0,-0.12277284369687,"Camponotus_crassus","Paepalanthus_bromelioides",1
2,0.01,0,2.45342070755982e-17,"Megachile_(Pseudocentron)_sp._2","Camptosema_isopetalum",1
2,0.01,0,0.866110288598791,"Anthidini_sp.","Paepalanthus_bromelioides",1
2,0.01,0,-5.72049857522252e-17,"Xylocopa_sp._1","Lessingianthus_pycnostachyus",1
2,0.01,0,-1.58161624806746e-31,"Vanessa_sp.","Byrsonima_variabilis",1
2,0.01,0,0.301822238441964,"Deopalpus_sp.","Malpigaceae_sp.",1
2,0.01,0,-2.95519374077261e-37,"Augochlora_(Oxystoglossella)_sp._2","Hypenia_macrantha",1
2,0.01,0,0,"Tetrapedia_sp._2","Solanum_sp.",1
2,0.01,0,-0.00506007848890003,"Cauliognathini_sp._1","Vochysia_thyrsoidea",1
2,0.01,0,-0.0045443515156262,"Camponotus_crassus","Richterago_arenaria",1
2,0.01,0,2.06861953018886e-18,"Plecia_sp.","Declieuxia_fruticosa",1
2,0.01,0,0.00227746920292686,"Megachile_cf_(Dactylomegachile)_sp.","Palicourea_rigida",1
2,0.01,0,-8.55026583698257e-18,"Sciara_sp.","Sabicea_brasiliensis",1
2,0.01,0,0.00519083682003051,"Cauliognathini_sp._1","Stachytarpheta_linearis",1
2,0.01,0,0,"Madarini_sp._2","Vellozia_albiflora",1
2,0.01,0,1.30667617079549e-32,"Xylocopa_sp._1","Camptosema_isopetalum",1
2,0.01,0,7.86919424253172e-40,"Unidentified_Lepidoptera_sp._7","Turnera_hilaireana",1
2,0.01,0,-1.30481483672535e-30,"Cauliognathus_sp._2","Luxemburgia_villosa",1
2,0.01,0,0,"Xylocopa_big","Ouratea_floribunda",1
2,0.01,0,0.121264779334681,"Alticini_sp._1","Mimosa_sp.",1
2,0.01,0,0.000265317094981937,"Chlorostilbon_lucidus","Convolvulacea_sp.",1
2,0.01,0,0.00290638714555294,"Anthidini_sp.","Stachytarpheta_linearis",1
2,0.01,0,1.43310778290906e-67,"Eullaema_nigrita","Paepalanthus_sp._1",1
2,0.01,0,0,"Madopterini_sp.","Turnera_hilaireana",1
2,0.01,0,0.0179601110989247,"Alticini_sp._1","Trigonia_cipoensis",1
2,0.01,0,2.63678462517918e-21,"Ceratina_(Crewella)_asuncionis","Hypenia_macrantha",1
2,0.01,0,-0.00501579518288732,"Alticini_sp._2","Vochysia_thyrsoidea",1
2,0.01,0,-6.38683421083346e-38,"Campylopterus_largipennis","Turnera_hilaireana",1
2,0.01,0,-1.12998018335779e-16,"Alticini_sp._2","Byrsonima_variabilis",1
2,0.01,0,-1.4982075942596e-15,"Pseudagapostemon_sp._1","Lessingianthus_pycnostachyus",1
2,0.01,0,-1.08214275506602e-37,"Madarini_sp._2","Convolvulacea_sp.",1
2,0.01,0,0,"Coelioxys_sp.","Stachytarpheta_confertifolia",1
2,0.01,0,-1.49691448549025e-18,"Alticini_sp._1","Camptosema_isopetalum",1
2,0.01,0,0.0893493543951564,"Megachile_(Pseudocentron)_sp._1","Aspilia_jolyana",1
2,0.01,0,5.7617167233568e-23,"Anthidini_sp.","Hypenia_macrantha",1
2,0.01,0,0.000320056896198931,"Chlorostilbon_lucidus","Mimosa_sp.",1
2,0.01,0,-0.00203504505757452,"Camponotus_crassus","Trigonia_cipoensis",1
2,0.01,0,-1.44076735228141e-51,"Deopalpus_sp.","Paepalanthus_sp._1",1
2,0.01,0,-0.000322096886912382,"Trigona_spinipes","Jacaranda_caroba",1
2,0.01,0,0.242273014745013,"Plecia_sp.","Mimosa_sp.",1
2,0.01,0,7.71261356045457e-33,"Vanessa_sp.","Camptosema_isopetalum",1
2,0.01,0,-4.32124221606934e-37,"Eullaema_nigrita","Hypenia_macrantha",1
2,0.01,0,-3.01944182533621e-31,"Xylocopa_sp._1","Byrsonima_variabilis",1
2,0.01,0,0,"Hesperiinae_sp.","Vellozia_albiflora",1
2,0.01,0,0,"Xylocopa_big","Lessingianthus_pycnostachyus",1
2,0.01,0,0.0501440524964468,"Megachile_(Pseudocentron)_sp._1","Jacaranda_caroba",1
2,0.01,0,0,"Eumolpini_sp._4","Convolvulacea_sp.",1
2,0.01,0,0,"Campylopterus_largipennis","Solanum_sp.",1
2,0.01,0,0,"Nitidulidae_sp._2","Rynchospora_consanguinea",1
2,0.01,0,-1.22237442521088e-16,"Pseudagapostemon_sp._1","Malpigaceae_sp.",1
2,0.01,0,2.23855106560034e-16,"Satyrinae_sp.","Cuphea_ericoides",1
2,0.01,0,0.359222358993042,"Centris_(Hemisielaa)_tarsata","Paepalanthus_bromelioides",1
2,0.01,0,0.0505071245737033,"Bombus_pauloensis","Cuphea_ericoides",1
2,0.01,0,0,"Aellopos_sp.","Stachytarpheta_confertifolia",1
2,0.01,0,-8.4161344501802e-51,"Augochlora_(Oxystoglossella)_sp._2","Myrcia_guianensis",1
2,0.01,0,0.0264054984657736,"Lepidoptera_(microlepidoptera)","Palicourea_rigida",1
2,0.01,0,-4.65068452849699e-53,"Pseudagapostemon_sp._1","Turnera_hilaireana",1
2,0.01,0,1.37866277666973e-19,"Brachygastra_lecheguana","Declieuxia_fruticosa",1
2,0.01,0,5.16393797627362e-33,"Melipona_sp._1","Camptosema_isopetalum",1
2,0.01,0,-4.82339768895694e-37,"Unidentified_Lepidoptera_sp._7","Myrcia_guianensis",1
2,0.01,0,0.0473031646855088,"Trichodes_sp.","Richterago_arenaria",1
2,0.01,0,0.87624299837455,"Campylopterus_largipennis","Rynchospora_consanguinea",1
2,0.01,0,-2.51436713532707e-32,"Exomalopsis_sp._1","Camptosema_isopetalum",1
2,0.01,0,0.00739448883538547,"Megachile_cf_(Dactylomegachile)_sp.","Aspilia_jolyana",1
2,0.01,0,-0.00374088160139394,"Eupetomena_macroura","Richterago_arenaria",1
2,0.01,0,0,"Nitidulidae_sp._2","Jacaranda_caroba",1
2,0.01,0,21.3516792078183,"Ceratina_(Crewella)_asuncionis","Paepalanthus_bromelioides",1
2,0.01,0,0.00416286918779878,"Hesperiinae_sp.","Rynchospora_consanguinea",1
2,0.01,0,0,"Bombus_pauloensis","Vellozia_albiflora",1
2,0.01,0,-6.4016943717409e-17,"Campsomeris_sp._1","Byrsonima_variabilis",1
2,0.01,0,1.63170255604131e-18,"Melipona_sp._1","Stachytarpheta_linearis",1
2,0.01,0,7.38038977676587e-19,"Augochlora_(Oxystoglossella)_sp._2","Malpigaceae_sp.",1
2,0.01,0,-0.0229906877128178,"Diptera_sp._2","Vochysia_thyrsoidea",1
2,0.01,0,0,"Elateridae_sp._1","Turnera_hilaireana",1
2,0.01,0,-1.1579412702139e-18,"Brachygastra_lecheguana","Sabicea_brasiliensis",1
2,0.01,0,0.00188573869044686,"Centris_(Hemisielaa)_tarsata","Palicourea_rigida",1
2,0.01,0,0.00244669670188315,"Megachile_(Pseudocentron)_sp._1","Ouratea_floribunda",1
2,0.01,0,2.42505520558515e-33,"Augochlora_(Oxystoglossella)_sp._2","Camptosema_isopetalum",1
2,0.01,0,6.2130624291073e-38,"Lepidoptera_(microlepidoptera)","Turnera_hilaireana",1
2,0.01,0,7.45446008453028e-18,"Eupetomena_macroura","Sabicea_brasiliensis",1
2,0.01,0,0.000143319314043967,"Megachile_(Moureapis)_cf_anthidioides","Stachytarpheta_linearis",1
2,0.01,0,0,"Madopterini_sp.","Stachytarpheta_confertifolia",1
2,0.01,0,-0.0577211466522394,"Deopalpus_sp.","Rynchospora_consanguinea",1
2,0.01,0,-1.33506581812224e-53,"Unidentified_Lepidoptera_sp._7","Paepalanthus_sp._1",1
2,0.01,0,-0.00493429365172879,"Pteromalidae_sp._1","Rynchospora_consanguinea",1
2,0.01,0,4.81583052729228e-18,"Augochlora_(Oxystoglossella)_sp._2","Lessingianthus_pycnostachyus",1
2,0.01,0,1.34180709522279e-20,"Augochlora_(Oxystoglossella)_sp._2","Richterago_arenaria",1
2,0.01,0,0.0629527560424698,"Diptera_sp._2","Trigonia_cipoensis",1
2,0.01,0,-2.53956374753738e-21,"Augochloropsis_sp._1","Hypenia_macrantha",1
2,0.01,0,0.000308088817079646,"Chlorostilbon_lucidus","Malpigaceae_sp.",1
2,0.01,0,-0.000724545723325248,"Aellopos_sp.","Trigonia_cipoensis",1
2,0.01,0,0.00535675857515526,"Megachile_(Pseudocentron)_sp._1","Stachytarpheta_linearis",1
