"k","lambda","original_links","predicted_values","node_to","node_from","removed"
2,0.01,1,6.33086488293027e-37,"Dialictus_(Chloralictus)_sp._1","Turnera_hilaireana",1
2,0.01,1,0,"Trigona_spinipes","Vellozia_albiflora",1
2,0.01,3,0,"Centris_(Hemisielaa)_tarsata","Solanum_sp.",1
2,0.01,1,0,"Dialictus_(Chloralictus)_sp._1","Vellozia_albiflora",1
2,0.01,1,-1.2678273951114e-34,"Trigona_spinipes","Myrcia_guianensis",1
2,0.01,1,-3.23513176432109e-37,"Apis_mellifera","Turnera_hilaireana",1
2,0.01,1,0.0472669399041393,"Alticini_sp._2","Richterago_arenaria",1
2,0.01,1,-2.5143342708633e-17,"Campylopterus_largipennis","Declieuxia_fruticosa",1
2,0.01,1,7.11504359153642e-24,"Chlorostilbon_lucidus","Hypenia_macrantha",1
2,0.01,2,-0.00778304793188691,"Eupetomena_macroura","Palicourea_rigida",1
2,0.01,5,0,"Xylocopa_big","Vochysia_thyrsoidea",1
2,0.01,4,1.10983551445519e-18,"Augochlora_(Oxystoglossella)_sp._2","Cuphea_ericoides",1
2,0.01,2,0.726302781464025,"Ceratina_(Crewella)_asuncionis","Jacaranda_caroba",1
2,0.01,2,2.30127222019895e-16,"Pseudagapostemon_sp._1","Aspilia_jolyana",1
2,0.01,8,0.00132974249594476,"Phoebis_sennae","Vochysia_thyrsoidea",1
2,0.01,1,0,"Protomydas_sp.","Vochysia_thyrsoidea",1
2,0.01,1,0.00888182640195211,"Megachile_(Pseudocentron)_sp._2","Cuphea_ericoides",1
2,0.01,4,13.0149737471958,"Cephalotes_pusillus","Paepalanthus_bromelioides",1
2,0.01,1,1.27665852320953,"Megachile_(Pseudocentron)_sp._2","Aspilia_jolyana",1
2,0.01,4,0,"Sibinia_sp.","Paepalanthus_bromelioides",1
2,0.01,1,0,"Dialictus_(Chloralictus)_sp._1","Stachytarpheta_confertifolia",1
2,0.01,1,-1.60097797857342e-17,"Colibri_serrirostris","Declieuxia_fruticosa",1
2,0.01,1,1.43382754707838e-16,"Eullaema_nigrita","Aspilia_jolyana",1
2,0.01,1,0,"Xylocopa_sp._5","Malpigaceae_sp.",1
2,0.01,1,0,"Palpada_sp.","Paepalanthus_bromelioides",1
2,0.01,1,2.3014135972455e-20,"Chlorostilbon_lucidus","Declieuxia_fruticosa",1
2,0.01,3,-0.0481566718796854,"Trigona_spinipes","Paepalanthus_bromelioides",1
2,0.01,1,-1.20040124837868e-15,"Xylocopa_sp._2","Aspilia_jolyana",1
2,0.01,1,-4.33937390642472e-17,"Heliactin_bilophus","Lessingianthus_pycnostachyus",1
2,0.01,1,0,"Augochloropsis_sp._1","Vellozia_albiflora",1
2,0.01,4,0,"Elateridae_sp._1","Paepalanthus_bromelioides",1
2,0.01,2,0,"Eumolpini_sp._4","Paepalanthus_bromelioides",1
2,0.01,2,-1.26575614618747e-31,"Tetrapedia_sp._2","Byrsonima_variabilis",1
2,0.01,1,-3.70851578602709e-15,"Dialictus_(Chloralictus)_sp._1","Byrsonima_variabilis",1
2,0.01,2,2.30627278644625e-38,"Ceratina_(Crewella)_sp._2","Turnera_hilaireana",1
2,0.01,1,0,"Xylocopa_sp._5","Cuphea_ericoides",1
2,0.01,3,0.000318491320108263,"Phoebis_sennae","Palicourea_rigida",1
2,0.01,1,-4.83175574024949e-17,"Tapinotaspidini_sp._1","Malpigaceae_sp.",1
2,0.01,1,-4.99159719608669e-20,"Chlorostilbon_lucidus","Camptosema_isopetalum",1
2,0.01,1,8.15592514292921e-18,"Chilicola_(Prosopoides)_sp.","Cuphea_ericoides",1
2,0.01,3,0.0166940600900344,"Centris_(Hemisielaa)_tarsata","Cuphea_ericoides",1
2,0.01,1,0,"Nitidulidae_sp._2","Mimosa_sp.",1
2,0.01,9,-0.00230241773421339,"Chlorostilbon_lucidus","Vochysia_thyrsoidea",1
2,0.01,1,0,"Augochloropsis_sp._3","Vellozia_albiflora",1
2,0.01,1,1.36292916437883e-16,"Tetrapedia_sp._2","Aspilia_jolyana",1
2,0.01,1,-8.90211114985544e-51,"Dialictus_(Chloralictus)_sp._1","Paepalanthus_sp._1",1
2,0.01,1,0,"Xylocopa_big","Luxemburgia_villosa",1
2,0.01,3,-5.98959103871171e-18,"Cephalotes_pusillus","Declieuxia_fruticosa",1
2,0.01,1,2.7133729504146e-19,"Coelioxys_sp.","Cuphea_ericoides",1
2,0.01,3,0,"Nitidulidae_sp._2","Turnera_hilaireana",1
2,0.01,2,-2.69777787464048e-18,"Xylocopa_sp._1","Cuphea_ericoides",1
2,0.01,1,0,"Madopterini_sp.","Paepalanthus_bromelioides",1
2,0.01,3,-2.0096830117896e-36,"Madarini_sp._2","Paepalanthus_bromelioides",1
2,0.01,3,0.236976722088601,"Cerambycidae_sp.","Richterago_arenaria",1
2,0.01,2,-1.09793862310605e-15,"Xylocopa_sp._2","Vochysia_thyrsoidea",1
2,0.01,1,7.74688804274233e-18,"Dialictus_(Chloralictus)_sp._1","Declieuxia_fruticosa",1
2,0.01,1,-8.2526537685122e-17,"Satyrinae_sp.","Aspilia_jolyana",1
2,0.01,2,0.00280604608293281,"Phoebis_sennae","Cuphea_ericoides",1
2,0.01,2,0,"Myzinum_sp.","Paepalanthus_bromelioides",1
2,0.01,0,-1.55117242394509e-17,"Camponotus_crassus","Declieuxia_fruticosa",1
2,0.01,0,0.00144080553980667,"Megachile_cf_(Dactylomegachile)_sp.","Stachytarpheta_linearis",1
2,0.01,0,0,"Xylocopa_big","Convolvulacea_sp.",1
2,0.01,0,-3.04112444300409e-38,"Madarini_sp._2","Jacaranda_caroba",1
2,0.01,0,-3.32355344604836e-15,"Bombus_pauloensis","Byrsonima_variabilis",1
2,0.01,0,0.00893547188822338,"Cauliognathini_sp._1","Trigonia_cipoensis",1
2,0.01,0,0.473747161236645,"Cephalotes_pusillus","Mimosa_sp.",1
2,0.01,0,0,"Camponotus_crassus","Vellozia_albiflora",1
2,0.01,0,2.50876411895719e-18,"Coelioxys_sp.","Lessingianthus_pycnostachyus",1
2,0.01,0,-0.182900439194293,"Cerambycidae_sp.","Aspilia_jolyana",1
2,0.01,0,-2.87565312409074e-52,"Cauliognathus_sp._2","Paepalanthus_sp._1",1
2,0.01,0,1.17777200745043e-36,"Pteromalidae_sp._1","Myrcia_guianensis",1
2,0.01,0,1.26188149613475e-16,"Augochlora_(Oxystoglossella)_sp._2","Aspilia_jolyana",1
2,0.01,0,-0.0790101392549675,"Alticini_sp._1","Aspilia_jolyana",1
2,0.01,0,0.0129844967329951,"Hesperiinae_sp.","Vochysia_thyrsoidea",1
2,0.01,0,0,"Cerambycidae_sp.","Vellozia_albiflora",1
2,0.01,0,7.66383401198711e-54,"Tetrapedia_sp._2","Turnera_hilaireana",1
2,0.01,0,-5.7016253043011e-18,"Xylocopa_sp._1","Convolvulacea_sp.",1
2,0.01,0,0.340385955158387,"Augochloropsis_sp._1","Rynchospora_consanguinea",1
2,0.01,0,0,"Myzinum_sp.","Vellozia_albiflora",1
2,0.01,0,0.43276011395004,"Megachile_cf_(Dactylomegachile)_sp.","Paepalanthus_bromelioides",1
2,0.01,0,3.15203975076075e-17,"Tetrapedia_sp._2","Mimosa_sp.",1
2,0.01,0,0.00741572095021861,"Aellopos_sp.","Ouratea_floribunda",1
2,0.01,0,-5.98314696880504e-36,"Megachile_(Pseudocentron)_sp._1","Myrcia_guianensis",1
2,0.01,0,-0.00313255664303507,"Camponotus_crassus","Palicourea_rigida",1
2,0.01,0,0,"Protomydas_sp.","Sabicea_brasiliensis",1
2,0.01,0,0,"Eumolpini_sp._4","Hypenia_macrantha",1
2,0.01,0,7.59780321686566e-18,"Chilicola_(Prosopoides)_sp.","Stachytarpheta_linearis",1
2,0.01,0,-5.80739715484942e-17,"Exomalopsis_sp._1","Richterago_arenaria",1
2,0.01,0,-1.35622393254125e-36,"Campsomeris_sp._1","Myrcia_guianensis",1
2,0.01,0,-0.00282048154187792,"Trigona_spinipes","Palicourea_rigida",1
2,0.01,0,-6.47906017490461e-28,"Bombus_pauloensis","Luxemburgia_villosa",1
2,0.01,0,-2.12446050884846e-20,"Augochlora_(Oxystoglossella)_sp._2","Convolvulacea_sp.",1
2,0.01,0,-3.05100075831511e-17,"Melipona_sp._1","Lessingianthus_pycnostachyus",1
2,0.01,0,0,"Phoebis_sennae","Stachytarpheta_confertifolia",1
2,0.01,0,0.682288970028654,"Brachygastra_lecheguana","Paepalanthus_bromelioides",1
2,0.01,0,-3.39377306342184e-15,"Pseudagapostemon_sp._1","Paepalanthus_bromelioides",1
2,0.01,0,-1.18020742328854e-31,"Melipona_sp._1","Byrsonima_variabilis",1
2,0.01,0,0.866260878580535,"Megachile_sp.","Paepalanthus_bromelioides",1
