"emln_id","layers_to_train","layer_to_predict","prop_ones_to_remove","amount_of_removed_1","prop_zeros_to_remove","amount_of_removed_0","TP","TN","FP","FN","specificity","precision","recall","recall_rem","f1_score","balanced_accuracy"
25,2,7,0.2,24,0.2,245,114,1010,193,8,0.839567747298421,0.371335504885993,0.934426229508197,0.666666666666667,0.531468531468531,0.886996988403309
25,3,1,0.2,27,0.2,351,130,1383,345,5,0.800347222222222,0.273684210526316,0.962962962962963,0.814814814814815,0.426229508196721,0.881655092592593
25,3,2,0.2,31,0.2,476,151,1923,426,8,0.818646232439336,0.261698440207972,0.949685534591195,0.741935483870968,0.410326086956522,0.887523394138011
25,3,3,0.2,18,0.2,245,79,1021,186,12,0.845898922949461,0.29811320754717,0.868131868131868,0.333333333333333,0.443820224719101,0.863534146052787
25,3,4,0.2,23,0.2,294,103,1246,203,12,0.859903381642512,0.336601307189543,0.895652173913044,0.478260869565217,0.489311163895487,0.877777777777778
25,3,5,0.2,35,0.2,414,160,1709,326,15,0.83980343980344,0.329218106995885,0.914285714285714,0.571428571428571,0.48411497730711,0.877044577044577
25,3,6,0.2,31,0.2,414,153,1680,362,6,0.822722820763957,0.297087378640777,0.962264150943396,0.806451612903226,0.454005934718101,0.892493485853677
25,3,7,0.2,24,0.2,245,119,971,232,3,0.807148794679967,0.339031339031339,0.975409836065574,0.875,0.503171247357294,0.89127931537277
25,4,1,0.2,27,0.2,351,127,1436,292,8,0.831018518518518,0.303102625298329,0.940740740740741,0.703703703703704,0.458483754512635,0.88900462962963
25,4,2,0.2,31,0.2,476,151,1933,416,8,0.822903363133248,0.2663139329806,0.949685534591195,0.741935483870968,0.415977961432507,0.886294448862222
25,4,3,0.2,18,0.2,245,83,1014,193,8,0.84009942004971,0.300724637681159,0.912087912087912,0.555555555555556,0.452316076294278,0.876093666068811
25,4,4,0.2,23,0.2,294,107,1200,249,8,0.82815734989648,0.300561797752809,0.930434782608696,0.652173913043478,0.454352441613588,0.881366459627329
25,4,5,0.2,35,0.2,414,164,1663,372,11,0.817199017199017,0.305970149253731,0.937142857142857,0.685714285714286,0.461322081575246,0.887981747981748
25,4,6,0.2,31,0.2,414,150,1702,340,9,0.833496571988247,0.306122448979592,0.943396226415094,0.709677419354839,0.462249614791988,0.888446399201671
25,4,7,0.2,24,0.2,245,118,964,239,4,0.801330008312552,0.330532212885154,0.967213114754098,0.833333333333333,0.492693110647182,0.884271561533325
25,5,1,0.2,27,0.2,351,124,1438,290,11,0.832175925925926,0.29951690821256,0.918518518518519,0.592592592592593,0.451730418943534,0.875347222222222
25,5,2,0.2,31,0.2,476,154,1902,447,5,0.80970625798212,0.256239600665557,0.968553459119497,0.838709677419355,0.405263157894737,0.889129858550809
25,5,3,0.2,18,0.2,245,83,987,220,8,0.817729908864954,0.273927392739274,0.912087912087912,0.555555555555556,0.421319796954315,0.870817666178064
25,5,4,0.2,23,0.2,294,106,1178,271,9,0.812974465148378,0.281167108753316,0.921739130434783,0.608695652173913,0.430894308943089,0.869082125603865
25,5,5,0.2,35,0.2,414,167,1669,366,8,0.82014742014742,0.313320825515947,0.954285714285714,0.771428571428571,0.471751412429379,0.895078975078975
25,5,6,0.2,31,0.2,414,155,1642,400,4,0.80411361410382,0.279279279279279,0.974842767295597,0.870967741935484,0.434173669467787,0.889478190699709
25,5,7,0.2,24,0.2,245,116,976,227,6,0.811305070656692,0.338192419825073,0.950819672131147,0.75,0.498924731182796,0.88106237139392
25,6,1,0.2,27,0.2,351,128,1436,292,7,0.831018518518518,0.304761904761905,0.948148148148148,0.740740740740741,0.461261261261261,0.889583333333333
25,6,2,0.2,31,0.2,476,154,1923,426,5,0.818646232439336,0.26551724137931,0.968553459119497,0.838709677419355,0.416779431664411,0.896037655525836
25,6,3,0.2,18,0.2,245,86,996,211,5,0.825186412593206,0.28956228956229,0.945054945054945,0.722222222222222,0.443298969072165,0.885120678824076
25,6,4,0.2,23,0.2,294,109,1216,233,6,0.8391994478951,0.318713450292398,0.947826086956522,0.739130434782609,0.477024070021882,0.893512767425811
25,6,5,0.2,35,0.2,414,163,1724,311,12,0.847174447174447,0.343881856540084,0.931428571428571,0.657142857142857,0.50231124807396,0.889301509301509
25,6,6,0.2,31,0.2,414,146,1717,325,13,0.840842311459354,0.309978768577495,0.918238993710692,0.580645161290323,0.463492063492063,0.883419880620184
25,6,7,0.2,24,0.2,245,115,1017,186,7,0.845386533665835,0.382059800664452,0.942622950819672,0.708333333333333,0.543735224586288,0.894004742242754
25,7,1,0.2,27,0.2,351,125,1393,335,10,0.806134259259259,0.271739130434783,0.925925925925926,0.62962962962963,0.420168067226891,0.866030092592593
25,7,2,0.2,31,0.2,476,149,1934,415,10,0.823329076202639,0.264184397163121,0.937106918238994,0.67741935483871,0.412171507607192,0.883197988706555
25,7,3,0.2,18,0.2,245,84,1009,198,7,0.835956917978459,0.297872340425532,0.923076923076923,0.611111111111111,0.450402144772118,0.879516920527691
25,7,4,0.2,23,0.2,294,106,1214,235,9,0.837819185645273,0.310850439882698,0.921739130434783,0.608695652173913,0.464912280701754,0.879779158040028
25,7,5,0.2,35,0.2,414,167,1649,386,8,0.81031941031941,0.301989150090416,0.954285714285714,0.771428571428571,0.458791208791209,0.882302562302562
25,7,6,0.2,31,0.2,414,149,1684,358,10,0.824681684622919,0.293885601577909,0.937106918238994,0.67741935483871,0.447447447447447,0.880894301430956
25,7,7,0.2,24,0.2,245,116,992,211,6,0.824605153782211,0.35474006116208,0.950819672131147,0.75,0.516703786191537,0.894362454519439
