"emln_id","layers_to_train","layer_to_predict","prop_ones_to_remove","amount_of_removed_1","prop_zeros_to_remove","amount_of_removed_0","TP","TN","FP","FN","specificity","precision","recall","recall_rem","f1_score","balanced_accuracy"
25,1,1,0.2,27,0.2,351,124,1464,264,11,0.847222222222222,0.319587628865979,0.918518518518519,0.592592592592593,0.474187380497132,0.888599537037037
25,1,2,0.2,31,0.2,476,150,1902,447,9,0.80970625798212,0.251256281407035,0.943396226415094,0.709677419354839,0.396825396825397,0.876551242198607
25,1,3,0.2,18,0.2,245,80,1012,195,11,0.83844241922121,0.290909090909091,0.879120879120879,0.388888888888889,0.437158469945355,0.858781649171044
25,1,4,0.2,23,0.2,294,110,1183,266,5,0.816425120772947,0.292553191489362,0.956521739130435,0.782608695652174,0.44806517311609,0.886473429951691
25,1,5,0.2,35,0.2,414,166,1640,395,9,0.805896805896806,0.295900178253119,0.948571428571429,0.742857142857143,0.451086956521739,0.877234117234117
25,1,6,0.2,31,0.2,414,149,1691,351,10,0.828109696376102,0.298,0.937106918238994,0.67741935483871,0.452200303490137,0.882608307307548
25,1,7,0.2,24,0.2,245,118,971,232,4,0.807148794679967,0.337142857142857,0.967213114754098,0.833333333333333,0.5,0.88842783751005
25,2,1,0.2,27,0.2,351,125,1427,301,10,0.825810185185185,0.293427230046948,0.925925925925926,0.62962962962963,0.445632798573975,0.875868055555556
25,2,2,0.2,31,0.2,476,142,2008,341,17,0.85483184333759,0.29399585921325,0.893081761006289,0.451612903225806,0.442367601246106,0.876723937122983
25,2,3,0.2,18,0.2,245,83,987,220,8,0.817729908864954,0.273927392739274,0.912087912087912,0.555555555555556,0.421319796954315,0.864908910476433
25,2,4,0.2,23,0.2,294,105,1190,259,10,0.821256038647343,0.288461538461538,0.91304347826087,0.565217391304348,0.438413361169102,0.867149758454106
25,2,5,0.2,35,0.2,414,168,1643,392,7,0.807371007371007,0.3,0.96,0.8,0.457142857142857,0.883685503685504
25,2,6,0.2,31,0.2,414,146,1690,352,13,0.827619980411361,0.293172690763052,0.918238993710692,0.580645161290323,0.444444444444444,0.876074141149077
