"emln_id","layers_to_train","layer_to_predict","prop_ones_to_remove","amount_of_removed_1","prop_zeros_to_remove","amount_of_removed_0","TP","TN","FP","FN","specificity","precision","recall","recall_rem","f1_score","balanced_accuracy"
25,1,1,0.2,27,0,0,125,1728,0,10,1,1,0.925925925925926,0.62962962962963,0.961538461538461,0.966666666666667
25,1,2,0.2,31,0,0,151,2308,41,8,0.98254576415496,0.786458333333333,0.949685534591195,0.741935483870968,0.86039886039886,0.966115649373077
25,1,3,0.2,18,0,0,82,1185,22,9,0.981772990886495,0.788461538461538,0.901098901098901,0.5,0.841025641025641,0.941435945992698
25,1,4,0.2,23,0,0,110,1417,32,5,0.977915804002761,0.774647887323944,0.956521739130435,0.782608695652174,0.856031128404669,0.967218771566598
25,1,5,0.2,35,0,0,168,2006,29,7,0.985749385749386,0.852791878172589,0.96,0.8,0.903225806451613,0.972874692874693
25,1,6,0.2,31,0,0,151,2031,11,8,0.994613124387855,0.932098765432099,0.949685534591195,0.741935483870968,0.940809968847352,0.972149329489525
25,1,7,0.2,24,0,0,119,1187,16,3,0.98669991687448,0.881481481481482,0.975409836065574,0.875,0.926070038910506,0.981054876470027
25,2,1,0.2,27,0,0,129,1707,21,6,0.987847222222222,0.86,0.955555555555556,0.777777777777778,0.905263157894737,0.971701388888889
25,2,2,0.2,31,0,0,145,2349,0,14,1,1,0.911949685534591,0.548387096774194,0.953947368421053,0.962264150943396
25,2,3,0.2,18,0,0,80,1186,21,11,0.982601491300746,0.792079207920792,0.879120879120879,0.388888888888889,0.833333333333333,0.930861185210812
25,2,4,0.2,23,0,0,109,1419,30,6,0.979296066252588,0.784172661870504,0.947826086956522,0.739130434782609,0.858267716535433,0.963561076604555
25,2,5,0.2,35,0,0,168,2023,12,7,0.994103194103194,0.933333333333333,0.96,0.8,0.946478873239437,0.977051597051597
25,2,6,0.2,31,0,0,151,2027,15,8,0.992654260528893,0.909638554216867,0.949685534591195,0.741935483870968,0.929230769230769,0.971169897560044
25,2,7,0.2,24,0,0,116,1191,12,6,0.99002493765586,0.90625,0.950819672131147,0.75,0.928,0.970422304893504
25,3,1,0.2,27,0,0,127,1720,8,8,0.99537037037037,0.940740740740741,0.940740740740741,0.703703703703704,0.940740740740741,0.968055555555556
25,3,2,0.2,31,0,0,147,2327,22,12,0.990634312473393,0.869822485207101,0.924528301886792,0.612903225806452,0.896341463414634,0.957581307180093
25,3,3,0.2,18,0,0,80,1207,0,11,1,1,0.879120879120879,0.388888888888889,0.935672514619883,0.956043956043956
25,3,4,0.2,23,0,0,107,1434,15,8,0.989648033126294,0.877049180327869,0.930434782608696,0.652173913043478,0.90295358649789,0.964389233954451
25,3,5,0.2,35,0,0,160,2019,16,15,0.992137592137592,0.909090909090909,0.914285714285714,0.571428571428571,0.911680911680912,0.956068796068796
25,3,6,0.2,31,0,0,148,2039,3,11,0.998530852105779,0.980132450331126,0.930817610062893,0.645161290322581,0.954838709677419,0.964674231084336
25,3,7,0.2,24,0,0,114,1192,11,8,0.990856192851205,0.912,0.934426229508197,0.666666666666667,0.923076923076923,0.962641211179701
25,4,1,0.2,27,0,0,130,1711,17,5,0.990162037037037,0.884353741496599,0.962962962962963,0.814814814814815,0.921985815602837,0.9765625
25,4,2,0.2,31,0,0,149,2308,41,10,0.98254576415496,0.784210526315789,0.937106918238994,0.67741935483871,0.853868194842407,0.959826341196977
25,4,3,0.2,18,0,0,84,1192,15,7,0.987572493786247,0.848484848484849,0.923076923076923,0.611111111111111,0.88421052631579,0.955324708431585
25,4,4,0.2,23,0,0,103,1449,0,12,1,1,0.895652173913044,0.478260869565217,0.944954128440367,0.952173913043478
25,4,5,0.2,35,0,0,163,2003,32,12,0.984275184275184,0.835897435897436,0.931428571428571,0.657142857142857,0.881081081081081,0.957851877851878
25,4,6,0.2,31,0,0,146,2039,3,13,0.998530852105779,0.979865771812081,0.918238993710692,0.580645161290323,0.948051948051948,0.958384922908235
25,4,7,0.2,24,0,0,116,1192,11,6,0.990856192851205,0.913385826771654,0.950819672131147,0.75,0.931726907630522,0.970837932491176
25,5,1,0.2,27,0,0,127,1702,26,8,0.984953703703704,0.830065359477124,0.940740740740741,0.703703703703704,0.881944444444444,0.962847222222222
25,5,2,0.2,31,0,0,150,2311,38,9,0.983822903363133,0.797872340425532,0.943396226415094,0.709677419354839,0.864553314121037,0.963609564889114
25,5,3,0.2,18,0,0,83,1178,29,8,0.975973487986744,0.741071428571429,0.912087912087912,0.555555555555556,0.817733990147783,0.944030700037328
