"train_layer","test_layer","threshold","f05","f1","mcc","train_layer_name","test_layer_name","jaccard_pollinators","jaccard_plants","jaccard_edges","distance_km","layer_comparison"
1,2,0.725,0.711631394434965,0.743905855692808,0.267686402816931,"Tenerife Teno","Tenerife South",0.257425742574257,0.4,0.109756097560976,57.4641820425,"Added location"
1,2,0.75,0.717132110421474,0.743282667895332,0.281604594799351,"Tenerife Teno","Tenerife South",0.257425742574257,0.4,0.109756097560976,57.4641820425,"Added location"
1,2,0.775,0.716403819579395,0.73914827991328,0.278727780352535,"Tenerife Teno","Tenerife South",0.257425742574257,0.4,0.109756097560976,57.4641820425,"Added location"
1,2,0.8,0.71624506954741,0.736894628998966,0.277902008845067,"Tenerife Teno","Tenerife South",0.257425742574257,0.4,0.109756097560976,57.4641820425,"Added location"
1,3,0.3,0.665095698079542,0.759581419631911,NA,"Tenerife Teno","Gran Canaria",0.211111111111111,0.347826086956522,0.0704845814977974,173.858830325,"Added location"
1,3,0.325,0.665095698079542,0.759581419631911,NA,"Tenerife Teno","Gran Canaria",0.211111111111111,0.347826086956522,0.0704845814977974,173.858830325,"Added location"
1,3,0.35,0.665095698079542,0.759581419631911,NA,"Tenerife Teno","Gran Canaria",0.211111111111111,0.347826086956522,0.0704845814977974,173.858830325,"Added location"
1,3,0.375,0.665095698079542,0.759581419631911,NA,"Tenerife Teno","Gran Canaria",0.211111111111111,0.347826086956522,0.0704845814977974,173.858830325,"Added location"
1,3,0.4,0.665095698079542,0.759581419631911,NA,"Tenerife Teno","Gran Canaria",0.211111111111111,0.347826086956522,0.0704845814977974,173.858830325,"Added location"
1,3,0.425,0.665095698079542,0.759581419631911,NA,"Tenerife Teno","Gran Canaria",0.211111111111111,0.347826086956522,0.0704845814977974,173.858830325,"Added location"
1,3,0.45,0.665095698079542,0.759581419631911,NA,"Tenerife Teno","Gran Canaria",0.211111111111111,0.347826086956522,0.0704845814977974,173.858830325,"Added location"
1,3,0.475,0.665095698079542,0.759581419631911,NA,"Tenerife Teno","Gran Canaria",0.211111111111111,0.347826086956522,0.0704845814977974,173.858830325,"Added location"
1,3,0.5,0.66855667549594,0.749186187377129,0.0750078972112008,"Tenerife Teno","Gran Canaria",0.211111111111111,0.347826086956522,0.0704845814977974,173.858830325,"Added location"
1,3,0.525,0.66855941517579,0.743675231193895,0.086972618749093,"Tenerife Teno","Gran Canaria",0.211111111111111,0.347826086956522,0.0704845814977974,173.858830325,"Added location"
1,3,0.55,0.667752492560323,0.734539296512424,0.0905597100743455,"Tenerife Teno","Gran Canaria",0.211111111111111,0.347826086956522,0.0704845814977974,173.858830325,"Added location"
1,3,0.575,0.664851152291792,0.72384877507246,0.0871217344581033,"Tenerife Teno","Gran Canaria",0.211111111111111,0.347826086956522,0.0704845814977974,173.858830325,"Added location"
1,3,0.6,0.662562859678659,0.712222723655098,0.0868520717888667,"Tenerife Teno","Gran Canaria",0.211111111111111,0.347826086956522,0.0704845814977974,173.858830325,"Added location"
1,3,0.625,0.651310282561946,0.690022427638614,0.0578347023294638,"Tenerife Teno","Gran Canaria",0.211111111111111,0.347826086956522,0.0704845814977974,173.858830325,"Added location"
1,3,0.65,0.646834146129073,0.677792388042462,0.0552309010097511,"Tenerife Teno","Gran Canaria",0.211111111111111,0.347826086956522,0.0704845814977974,173.858830325,"Added location"
1,3,0.675,0.646521081615086,0.668774014487565,0.064979624214621,"Tenerife Teno","Gran Canaria",0.211111111111111,0.347826086956522,0.0704845814977974,173.858830325,"Added location"
1,3,0.7,0.651558558062403,0.66605060730137,0.0908884874946549,"Tenerife Teno","Gran Canaria",0.211111111111111,0.347826086956522,0.0704845814977974,173.858830325,"Added location"
1,3,0.725,0.653805693456214,0.661150636522002,0.0997480204967436,"Tenerife Teno","Gran Canaria",0.211111111111111,0.347826086956522,0.0704845814977974,173.858830325,"Added location"
1,3,0.75,0.66299151606213,0.663951570917032,0.130245760609861,"Tenerife Teno","Gran Canaria",0.211111111111111,0.347826086956522,0.0704845814977974,173.858830325,"Added location"
1,3,0.775,0.658183726956122,0.651812341001413,0.122718631434038,"Tenerife Teno","Gran Canaria",0.211111111111111,0.347826086956522,0.0704845814977974,173.858830325,"Added location"
1,3,0.8,0.65872021465736,0.6460507026604,0.129208966078796,"Tenerife Teno","Gran Canaria",0.211111111111111,0.347826086956522,0.0704845814977974,173.858830325,"Added location"
1,4,0.3,0.688727823155606,0.77882918960016,NA,"Tenerife Teno","Fuerteventura",0.0952380952380952,0.166666666666667,0.0272727272727273,337.05548055,"Added location"
1,4,0.325,0.688727823155606,0.77882918960016,NA,"Tenerife Teno","Fuerteventura",0.0952380952380952,0.166666666666667,0.0272727272727273,337.05548055,"Added location"
1,4,0.35,0.688727823155606,0.77882918960016,NA,"Tenerife Teno","Fuerteventura",0.0952380952380952,0.166666666666667,0.0272727272727273,337.05548055,"Added location"
1,4,0.375,0.688727823155606,0.77882918960016,NA,"Tenerife Teno","Fuerteventura",0.0952380952380952,0.166666666666667,0.0272727272727273,337.05548055,"Added location"
1,4,0.4,0.688727823155606,0.77882918960016,NA,"Tenerife Teno","Fuerteventura",0.0952380952380952,0.166666666666667,0.0272727272727273,337.05548055,"Added location"
