"layer_from","node_from","layer_to","node_to","weight","type"
"layer_6","Asphaltklee_bituminosa","layer_6","Anthophora_alluaudi",5,"pollination"
"layer_6","Asphaltklee_bituminosa","layer_6","Camponotus_feae",2,"pollination"
"layer_6","Asphaltklee_bituminosa","layer_6","Colias_croceus",2,"pollination"
"layer_6","Asphaltklee_bituminosa","layer_6","Dasytes_subaenescens",1,"pollination"
"layer_6","Asphaltklee_bituminosa","layer_6","Estheria_simonyi",3,"pollination"
"layer_6","Asphaltklee_bituminosa","layer_6","Eucera_gracilipes",3,"pollination"
"layer_6","Asphaltklee_bituminosa","layer_6","Eumerus_latitarsis",1,"pollination"
"layer_6","Asphaltklee_bituminosa","layer_6","Villa_nigriceps",1,"pollination"
"layer_6","Ceballosia_fruticosa","layer_6","Camponotus_feae",13,"pollination"
"layer_6","Ceballosia_fruticosa","layer_6","Perilampus_sp_1",1,"pollination"
"layer_6","Ceballosia_fruticosa","layer_6","Phthiria_simonyi",1,"pollination"
"layer_6","Euphorbia_balsamifera_f","layer_6","Camponotus_feae",51,"pollination"
"layer_6","Euphorbia_balsamifera_f","layer_6","Chloropidae_sp_3",1,"pollination"
"layer_6","Euphorbia_balsamifera_f","layer_6","Dilophus_hiemalis",1,"pollination"
"layer_6","Euphorbia_balsamifera_f","layer_6","Empididae_sp_1",1,"pollination"
"layer_6","Euphorbia_balsamifera_f","layer_6","Estheria_simonyi",1,"pollination"
"layer_6","Euphorbia_balsamifera_f","layer_6","Lasioglossum_loetum",2,"pollination"
"layer_6","Euphorbia_balsamifera_f","layer_6","Lasioglossum_viride",1,"pollination"
"layer_6","Euphorbia_balsamifera_f","layer_6","Myathropa_florea",1,"pollination"
"layer_6","Euphorbia_balsamifera_f","layer_6","Pteromalus_sp_3",1,"pollination"
"layer_6","Euphorbia_balsamifera_m","layer_6","Camponotus_feae",65,"pollination"
"layer_6","Euphorbia_balsamifera_m","layer_6","Cecydomyiidae_sp",1,"pollination"
"layer_6","Euphorbia_balsamifera_m","layer_6","Chironomidae_sp_1",1,"pollination"
"layer_6","Euphorbia_balsamifera_m","layer_6","Chloropidae_sp_3",3,"pollination"
"layer_6","Euphorbia_balsamifera_m","layer_6","Cryptocephalus_nitidicollis",1,"pollination"
"layer_6","Euphorbia_balsamifera_m","layer_6","Dasytes_subaenescens",1,"pollination"
"layer_6","Euphorbia_balsamifera_m","layer_6","Eumerus_latitarsis",1,"pollination"
"layer_6","Euphorbia_balsamifera_m","layer_6","Lasioglossum_loetum",8,"pollination"
"layer_6","Euphorbia_balsamifera_m","layer_6","Lasioglossum_viride",4,"pollination"
"layer_6","Euphorbia_balsamifera_m","layer_6","Perilampus_sp_1",1,"pollination"
"layer_6","Euphorbia_balsamifera_m","layer_6","Rondania_insularis",1,"pollination"
"layer_6","Euphorbia_balsamifera_m","layer_6","Sarcophagidae_sp_3",1,"pollination"
"layer_6","Euphorbia_balsamifera_m","layer_6","Thomisus_cf_onustus",1,"pollination"
"layer_6","Euphorbia_balsamifera_m","layer_6","Thysanoptera_sp_1",42,"pollination"
"layer_6","Euphorbia_lamarckii","layer_6","Anthophora_alluaudi",2,"pollination"
"layer_6","Euphorbia_lamarckii","layer_6","Attalus_crispus",1,"pollination"
"layer_6","Euphorbia_lamarckii","layer_6","Camponotus_feae",71,"pollination"
"layer_6","Euphorbia_lamarckii","layer_6","Ceratogoponidae_sp",2,"pollination"
"layer_6","Euphorbia_lamarckii","layer_6","Ceratogoponidae_sp_2",1,"pollination"
"layer_6","Euphorbia_lamarckii","layer_6","Chironomidae_sp_1",3,"pollination"
"layer_6","Euphorbia_lamarckii","layer_6","Chloropidae_sp_3",2,"pollination"
"layer_6","Euphorbia_lamarckii","layer_6","Chrysomya_albiceps",1,"pollination"
"layer_6","Euphorbia_lamarckii","layer_6","Colletes_dimidiatus",13,"pollination"
"layer_6","Euphorbia_lamarckii","layer_6","Dasytes_subaenescens",2,"pollination"
"layer_6","Euphorbia_lamarckii","layer_6","Dilophus_hiemalis",2,"pollination"
"layer_6","Euphorbia_lamarckii","layer_6","Empis_sp_1",1,"pollination"
"layer_6","Euphorbia_lamarckii","layer_6","Eristalinus_taeniops",1,"pollination"
"layer_6","Euphorbia_lamarckii","layer_6","Estheria_simonyi",12,"pollination"
"layer_6","Euphorbia_lamarckii","layer_6","Eucera_gracilipes",4,"pollination"
"layer_6","Euphorbia_lamarckii","layer_6","Eumerus_latitarsis",4,"pollination"
"layer_6","Euphorbia_lamarckii","layer_6","Lasioglossum_loetum",11,"pollination"
"layer_6","Euphorbia_lamarckii","layer_6","Lasioglossum_viride",11,"pollination"
"layer_6","Euphorbia_lamarckii","layer_6","Linnaemyia_soror",1,"pollination"
"layer_6","Euphorbia_lamarckii","layer_6","Lucilia_sericata",5,"pollination"
"layer_6","Euphorbia_lamarckii","layer_6","Myathropa_florea",6,"pollination"
"layer_6","Euphorbia_lamarckii","layer_6","Mycetophilidae_sp_1",2,"pollination"
"layer_6","Euphorbia_lamarckii","layer_6","Paratrechina_longicornis",1,"pollination"
"layer_6","Euphorbia_lamarckii","layer_6","Perilampus_sp_2",1,"pollination"
"layer_6","Euphorbia_lamarckii","layer_6","Scaeva_albomaculata",1,"pollination"
"layer_6","Euphorbia_lamarckii","layer_6","Sciaridae_sp",1,"pollination"
"layer_6","Euphorbia_lamarckii","layer_6","Syritta_pipiens",1,"pollination"
"layer_6","Euphorbia_lamarckii","layer_6","Tachina_canariensis",2,"pollination"
"layer_6","Euphorbia_lamarckii","layer_6","Thaumatomyia_notata",2,"pollination"
"layer_6","Lotus_glaucus","layer_6","Chalicodoma_canescens",1,"pollination"
"layer_6","Lotus_glaucus","layer_6","Lasioglossum_arctifrons",1,"pollination"
"layer_6","Lotus_glaucus","layer_6","Lasioglossum_viride",1,"pollination"
"layer_6","Lotus_glaucus","layer_6","Megachile_canariensis",1,"pollination"
"layer_6","Lotus_glaucus","layer_6","Osmia_canaria",1,"pollination"
"layer_6","Lotus_glaucus","layer_6","Sciaridae_sp_1",1,"pollination"
"layer_6","Lotus_glaucus","layer_6","Thysanoptera_sp_2",4,"pollination"
"layer_6","Periploca_laevigata","layer_6","Camponotus_feae",71,"pollination"
"layer_6","Periploca_laevigata","layer_6","Chloropidae_sp_4",1,"pollination"
"layer_6","Periploca_laevigata","layer_6","Cryptocephalus_nitidicollis",1,"pollination"
"layer_6","Periploca_laevigata","layer_6","Delia_flavibasis",1,"pollination"
"layer_6","Periploca_laevigata","layer_6","Lucilia_sericata",1,"pollination"
"layer_6","Periploca_laevigata","layer_6","Neodryophilus_cryptophagoides",1,"pollination"
"layer_6","Periploca_laevigata","layer_6","Thaumatomyia_notata",1,"pollination"
"layer_6","Phagnalon_saxatile","layer_6","Myopites_nigrescens",4,"pollination"
"layer_6","Phagnalon_saxatile","layer_6","Phalacrus_coruscus",1,"pollination"
"layer_6","Phagnalon_saxatile","layer_6","Spathulina_sicula",2,"pollination"
"layer_6","Phagnalon_saxatile","layer_6","Thysanoptera_sp_2",2,"pollination"
"layer_6","Rubia_fruticosa","layer_6","Camponotus_feae",6,"pollination"
"layer_6","Rubia_fruticosa","layer_6","Myathropa_florea",1,"pollination"
"layer_6","Rubia_fruticosa","layer_6","Thaumatomyia_notata",1,"pollination"
"layer_6","Satureja_kuegleri","layer_6","Camponotus_feae",1,"pollination"
"layer_6","Schizogyne_sericea","layer_6","Euderus_sp",2,"pollination"
"layer_6","Schizogyne_sericea","layer_6","Myopites_nigrescens",10,"pollination"
"layer_6","Schizogyne_sericea","layer_6","Pteromalus_sp_3",2,"pollination"
"layer_7","Argyranthemum_frutescens","layer_7","Attalus_rugifrons",2,"pollination"
"layer_7","Argyranthemum_frutescens","layer_7","Bruchidius_wollastoni",7,"pollination"
"layer_7","Argyranthemum_frutescens","layer_7","Campiglossa_reticulata",1,"pollination"
