"layer_from","node_from","layer_to","node_to","weight","type"
"layer_7","Argyranthemum_frutescens","layer_7","Camponotus_feae",2,"pollination"
"layer_7","Argyranthemum_frutescens","layer_7","Chrysomya_albiceps",2,"pollination"
"layer_7","Argyranthemum_frutescens","layer_7","Lasioglossum_viride",7,"pollination"
"layer_7","Argyranthemum_frutescens","layer_7","Lucilia_sericata",5,"pollination"
"layer_7","Argyranthemum_frutescens","layer_7","Myopites_nigrescens",1,"pollination"
"layer_7","Argyranthemum_frutescens","layer_7","Pieris_rapae",1,"pollination"
"layer_7","Argyranthemum_frutescens","layer_7","Tachina_canariensis",8,"pollination"
"layer_7","Argyranthemum_frutescens","layer_7","Thomisus_cf_globosum",2,"pollination"
"layer_7","Argyranthemum_frutescens","layer_7","Thomisus_cf_onustus",1,"pollination"
"layer_7","Argyranthemum_frutescens","layer_7","Thyridanthrax_indigenus",4,"pollination"
"layer_7","Argyranthemum_frutescens","layer_7","Thysanoptera_sp_1",36,"pollination"
"layer_7","Argyranthemum_frutescens","layer_7","Thysanoptera_sp_2",6,"pollination"
"layer_7","Asphaltklee_bituminosa","layer_7","Anthophora_alluaudi",2,"pollination"
"layer_7","Asphaltklee_bituminosa","layer_7","Chalicodoma_canescens",2,"pollination"
"layer_7","Euphorbia_balsamifera_f","layer_7","Araneidae_sp_1",1,"pollination"
"layer_7","Euphorbia_balsamifera_f","layer_7","Bruchidius_wollastoni",1,"pollination"
"layer_7","Euphorbia_balsamifera_f","layer_7","Camponotus_feae",40,"pollination"
"layer_7","Euphorbia_balsamifera_f","layer_7","Eumerus_latitarsis",7,"pollination"
"layer_7","Euphorbia_balsamifera_f","layer_7","Eupelmus_testaceiventris",1,"pollination"
"layer_7","Euphorbia_balsamifera_f","layer_7","Lasioglossum_loetum",7,"pollination"
"layer_7","Euphorbia_balsamifera_f","layer_7","Plagiolepis_schmitzii",19,"pollination"
"layer_7","Euphorbia_balsamifera_f","layer_7","Platypalpus_sp_1",1,"pollination"
"layer_7","Euphorbia_balsamifera_f","layer_7","Sarcophagidae_sp_5",1,"pollination"
"layer_7","Euphorbia_balsamifera_f","layer_7","Sarcophagidae_sp_8",1,"pollination"
"layer_7","Euphorbia_balsamifera_f","layer_7","Tachina_canariensis",3,"pollination"
"layer_7","Euphorbia_balsamifera_f","layer_7","Thyridanthrax_indigenus",1,"pollination"
"layer_7","Euphorbia_balsamifera_m","layer_7","Anaspis_cf_canariensis",9,"pollination"
"layer_7","Euphorbia_balsamifera_m","layer_7","Camponotus_feae",26,"pollination"
"layer_7","Euphorbia_balsamifera_m","layer_7","Chloropidae_sp_4",1,"pollination"
"layer_7","Euphorbia_balsamifera_m","layer_7","Dasytes_subaenescens",1,"pollination"
"layer_7","Euphorbia_balsamifera_m","layer_7","Empididae_sp_1",3,"pollination"
"layer_7","Euphorbia_balsamifera_m","layer_7","Eumerus_latitarsis",34,"pollination"
"layer_7","Euphorbia_balsamifera_m","layer_7","Lasioglossum_loetum",4,"pollination"
"layer_7","Euphorbia_balsamifera_m","layer_7","Lasioglossum_viride",1,"pollination"
"layer_7","Euphorbia_balsamifera_m","layer_7","Oxyopes_kraepelinorum",1,"pollination"
"layer_7","Euphorbia_balsamifera_m","layer_7","Paratrechina_longicornis",2,"pollination"
"layer_7","Euphorbia_balsamifera_m","layer_7","Plagiolepis_schmitzii",21,"pollination"
"layer_7","Euphorbia_balsamifera_m","layer_7","Tachina_canariensis",1,"pollination"
"layer_7","Euphorbia_balsamifera_m","layer_7","Thyridanthrax_indigenus",22,"pollination"
"layer_7","Euphorbia_balsamifera_m","layer_7","Thysanoptera_sp_1",21,"pollination"
"layer_7","Euphorbia_lamarckii","layer_7","Aprostocetus_occidentalis",2,"pollination"
"layer_7","Euphorbia_lamarckii","layer_7","Camponotus_feae",51,"pollination"
"layer_7","Euphorbia_lamarckii","layer_7","Chetogena_acuminata",1,"pollination"
"layer_7","Euphorbia_lamarckii","layer_7","Estheria_simonyi",1,"pollination"
"layer_7","Euphorbia_lamarckii","layer_7","Exetastes_segmentarius",1,"pollination"
"layer_7","Euphorbia_lamarckii","layer_7","Lasioglossum_loetum",1,"pollination"
"layer_7","Euphorbia_lamarckii","layer_7","Musca_domestica",2,"pollination"
"layer_7","Euphorbia_lamarckii","layer_7","Nyctia_lugubris",1,"pollination"
"layer_7","Euphorbia_lamarckii","layer_7","Sarcophagidae_sp_8",1,"pollination"
"layer_7","Euphorbia_lamarckii","layer_7","Tachina_canariensis",6,"pollination"
"layer_7","Fagonia_albiflora","layer_7","Anthophora_alluaudi",2,"pollination"
"layer_7","Fagonia_albiflora","layer_7","Anthophora_orotavae",1,"pollination"
"layer_7","Fagonia_albiflora","layer_7","Apis_mellifera",2,"pollination"
"layer_7","Fagonia_albiflora","layer_7","Lasioglossum_viride",3,"pollination"
"layer_7","Fagonia_albiflora","layer_7","Scaeva_albomaculata",2,"pollination"
"layer_7","Kickxia_scoparia","layer_7","Amegilla_quadrifasciata",1,"pollination"
"layer_7","Kickxia_scoparia","layer_7","Anthophora_alluaudi",1,"pollination"
"layer_7","Kickxia_scoparia","layer_7","Thysanoptera_sp_2",2,"pollination"
"layer_7","Launaea_arborescens","layer_7","Anthophora_alluaudi",1,"pollination"
"layer_7","Launaea_arborescens","layer_7","Apis_mellifera",6,"pollination"
"layer_7","Launaea_arborescens","layer_7","Aprostocetus_occidentalis",1,"pollination"
"layer_7","Launaea_arborescens","layer_7","Bruchidius_wollastoni",2,"pollination"
"layer_7","Launaea_arborescens","layer_7","Camponotus_feae",1,"pollination"
"layer_7","Launaea_arborescens","layer_7","Dasytes_subaenescens",1,"pollination"
"layer_7","Launaea_arborescens","layer_7","Estheria_simonyi",1,"pollination"
"layer_7","Launaea_arborescens","layer_7","Halictus_fulvipes",1,"pollination"
"layer_7","Launaea_arborescens","layer_7","Lasioglossum_loetum",1,"pollination"
"layer_7","Launaea_arborescens","layer_7","Lasioglossum_viride",22,"pollination"
"layer_7","Launaea_arborescens","layer_7","Osmia_latreillei",1,"pollination"
"layer_7","Launaea_arborescens","layer_7","Pieris_rapae",1,"pollination"
"layer_7","Launaea_arborescens","layer_7","Plagiolepis_schmitzii",5,"pollination"
"layer_7","Launaea_arborescens","layer_7","Thyridanthrax_indigenus",1,"pollination"
"layer_7","Launaea_arborescens","layer_7","Thysanoptera_sp_2",7,"pollination"
"layer_7","Launaea_arborescens","layer_7","Urelliosoma_guimari",1,"pollination"
"layer_7","Lavendula_multifida","layer_7","Camponotus_feae",2,"pollination"
"layer_7","Lycium_intricatum","layer_7","Amegilla_quadrifasciata",2,"pollination"
"layer_7","Lycium_intricatum","layer_7","Blaesoxipha_sp_1",2,"pollination"
"layer_7","Lycium_intricatum","layer_7","Lasioglossum_loetum",2,"pollination"
"layer_7","Lycium_intricatum","layer_7","Lasioglossum_viride",1,"pollination"
"layer_7","Periploca_laevigata","layer_7","Aprostocetus_occidentalis",11,"pollination"
"layer_7","Periploca_laevigata","layer_7","Camponotus_feae",62,"pollination"
"layer_7","Periploca_laevigata","layer_7","Lasioglossum_viride",1,"pollination"
"layer_7","Periploca_laevigata","layer_7","Megaselia_sp_1",2,"pollination"
"layer_7","Periploca_laevigata","layer_7","Paratrechina_longicornis",3,"pollination"
"layer_7","Periploca_laevigata","layer_7","Plagiolepis_schmitzii",7,"pollination"
"layer_7","Periploca_laevigata","layer_7","Sciaridae_sp_1",1,"pollination"
"layer_7","Periploca_laevigata","layer_7","Scymnus_canariensis",1,"pollination"
"layer_7","Phagnalon_saxatile","layer_7","Apis_mellifera",1,"pollination"
"layer_7","Phagnalon_saxatile","layer_7","Bruchidius_wollastoni",1,"pollination"
"layer_7","Phagnalon_saxatile","layer_7","Camponotus_feae",9,"pollination"
"layer_7","Phagnalon_saxatile","layer_7","Eurytoma_sp_2",1,"pollination"
"layer_7","Phagnalon_saxatile","layer_7","Lasioglossum_loetum",3,"pollination"
"layer_7","Phagnalon_saxatile","layer_7","Lasioglossum_viride",8,"pollination"
"layer_7","Phagnalon_saxatile","layer_7","Lucilia_sericata",1,"pollination"
"layer_7","Phagnalon_saxatile","layer_7","Myopites_nigrescens",4,"pollination"
"layer_7","Phagnalon_saxatile","layer_7","Plagiolepis_schmitzii",4,"pollination"
"layer_7","Phagnalon_saxatile","layer_7","Thyridanthrax_indigenus",4,"pollination"
"layer_7","Phagnalon_saxatile","layer_7","Thysanoptera_sp_2",17,"pollination"
"layer_7","Phagnalon_saxatile","layer_7","Trupanea_augur",1,"pollination"
"layer_7","Plocama_pendula","layer_7","Apis_mellifera",1,"pollination"
"layer_7","Plocama_pendula","layer_7","Lasioglossum_viride",3,"pollination"
"layer_7","Plocama_pendula","layer_7","Tachina_canariensis",1,"pollination"
"layer_7","Rubia_fruticosa","layer_7","Aprostocetus_occidentalis",2,"pollination"
"layer_7","Rubia_fruticosa","layer_7","Araneidae_sp_2",1,"pollination"
"layer_7","Rubia_fruticosa","layer_7","Camponotus_feae",3,"pollination"
"layer_7","Rubia_fruticosa","layer_7","Estheria_simonyi",1,"pollination"
"layer_7","Rubia_fruticosa","layer_7","Eupelmus_sp",1,"pollination"
"layer_7","Rubia_fruticosa","layer_7","Lasioglossum_loetum",3,"pollination"
"layer_7","Rubia_fruticosa","layer_7","Nyctia_lugubris",1,"pollination"
"layer_7","Rubia_fruticosa","layer_7","Plagiolepis_schmitzii",6,"pollination"
"layer_7","Rubia_fruticosa","layer_7","Sarcophagidae_sp_8",2,"pollination"
"layer_7","Rubia_fruticosa","layer_7","Sciaridae_sp_1",1,"pollination"
"layer_7","Salvia_aegyptiaca","layer_7","Thyridanthrax_indigenus",2,"pollination"
"layer_1","Argyranthemum_frutescens","layer_1","Apis_mellifera",1,"pollination"
"layer_1","Argyranthemum_frutescens","layer_1","Aulacoderus_canariensis",1,"pollination"
"layer_1","Argyranthemum_frutescens","layer_1","Camponotus_feae",15,"pollination"
"layer_1","Argyranthemum_frutescens","layer_1","Dasytes_subaenescens",8,"pollination"
"layer_1","Argyranthemum_frutescens","layer_1","Elasmus_platyedrae",1,"pollination"
"layer_1","Argyranthemum_frutescens","layer_1","Eristalinus_aeneus",1,"pollination"
"layer_1","Argyranthemum_frutescens","layer_1","Eristalis_tenax",1,"pollination"
"layer_1","Argyranthemum_frutescens","layer_1","Lasioglossum_viride",15,"pollination"
"layer_1","Argyranthemum_frutescens","layer_1","Leptochilus_cruentatus",1,"pollination"
"layer_1","Argyranthemum_frutescens","layer_1","Meligethes_canariensis",4,"pollination"
"layer_1","Argyranthemum_frutescens","layer_1","Myathropa_florea",1,"pollination"
"layer_1","Argyranthemum_frutescens","layer_1","Pteromalus_sp_1",2,"pollination"
"layer_1","Argyranthemum_frutescens","layer_1","Pteromalus_sp_4",2,"pollination"
"layer_1","Argyranthemum_frutescens","layer_1","Scenopinus_sp",1,"pollination"
"layer_1","Argyranthemum_frutescens","layer_1","Syritta_pipiens",4,"pollination"
"layer_1","Argyranthemum_frutescens","layer_1","Thysanoptera_sp_1",12,"pollination"
"layer_1","Argyranthemum_frutescens","layer_1","Thysanoptera_sp_2",15,"pollination"
"layer_1","Argyranthemum_frutescens","layer_1","Thysanoptera_sp_7",48,"pollination"
"layer_1","Asphaltklee_bituminosa","layer_1","Eucera_gracilipes",1,"pollination"
"layer_1","Ceballosia_fruticosa","layer_1","Anaspis_proteus",4,"pollination"
"layer_1","Ceballosia_fruticosa","layer_1","Camponotus_feae",19,"pollination"
"layer_1","Ceballosia_fruticosa","layer_1","Estheria_simonyi",1,"pollination"
"layer_1","Ceballosia_fruticosa","layer_1","Meligethes_canariensis",14,"pollination"
"layer_1","Ceballosia_fruticosa","layer_1","Phthiria_simonyi",12,"pollination"
"layer_1","Ceballosia_fruticosa","layer_1","Plagiolepis_sp_2",1,"pollination"
"layer_1","Ceballosia_fruticosa","layer_1","Syritta_pipiens",1,"pollination"
"layer_1","Ceropegia_dichotoma","layer_1","Camponotus_feae",1,"pollination"
"layer_1","Ceropegia_dichotoma","layer_1","Thysanoptera_sp_3",1,"pollination"
"layer_1","Ceropegia_dichotoma","layer_1","Thysanoptera_sp_7",2,"pollination"
"layer_1","Euphorbia_balsamifera_f","layer_1","Camponotus_feae",53,"pollination"
"layer_1","Euphorbia_balsamifera_f","layer_1","Ceratogoponidae_sp",1,"pollination"
"layer_1","Euphorbia_balsamifera_f","layer_1","Chironomidae_sp",1,"pollination"
"layer_1","Euphorbia_balsamifera_f","layer_1","Estheria_simonyi",1,"pollination"
"layer_1","Euphorbia_balsamifera_f","layer_1","Eumerus_latitarsis",2,"pollination"
"layer_1","Euphorbia_balsamifera_f","layer_1","Megaselia_sp_2",3,"pollination"
"layer_1","Euphorbia_balsamifera_f","layer_1","Plagiolepis_sp_2",37,"pollination"
"layer_1","Euphorbia_balsamifera_f","layer_1","Platypalpus_sp",2,"pollination"
"layer_1","Euphorbia_balsamifera_f","layer_1","Tethina_marmorata",1,"pollination"
"layer_1","Euphorbia_balsamifera_f","layer_1","Themnothorax_hesperius",8,"pollination"
"layer_1","Euphorbia_balsamifera_m","layer_1","Anaspis_proteus",40,"pollination"
"layer_1","Euphorbia_balsamifera_m","layer_1","Attalus_pallipes",1,"pollination"
"layer_1","Euphorbia_balsamifera_m","layer_1","Bassus_sp",4,"pollination"
"layer_1","Euphorbia_balsamifera_m","layer_1","Bracon_sp",1,"pollination"
"layer_1","Euphorbia_balsamifera_m","layer_1","Camponotus_feae",71,"pollination"
"layer_1","Euphorbia_balsamifera_m","layer_1","Chloropidae_sp",1,"pollination"
"layer_1","Euphorbia_balsamifera_m","layer_1","Crematogaster_alluaudi",1,"pollination"
"layer_1","Euphorbia_balsamifera_m","layer_1","Cryptocephalus_gounellei",1,"pollination"
"layer_1","Euphorbia_balsamifera_m","layer_1","Dasytes_cf_subaenescens",1,"pollination"
"layer_1","Euphorbia_balsamifera_m","layer_1","Dasytes_subaenescens",2,"pollination"
"layer_1","Euphorbia_balsamifera_m","layer_1","Estheria_simonyi",4,"pollination"
"layer_1","Euphorbia_balsamifera_m","layer_1","Eumerus_latitarsis",19,"pollination"
"layer_1","Euphorbia_balsamifera_m","layer_1","Eumerus_nivariae",8,"pollination"
"layer_1","Euphorbia_balsamifera_m","layer_1","Lasioglossum_viride",2,"pollination"
"layer_1","Euphorbia_balsamifera_m","layer_1","Malthinus_mutabilis",2,"pollination"
"layer_1","Euphorbia_balsamifera_m","layer_1","Minotetrastichus_sp",1,"pollination"
"layer_1","Euphorbia_balsamifera_m","layer_1","Plagiolepis_sp_2",2,"pollination"
"layer_1","Euphorbia_balsamifera_m","layer_1","Sciaridae_sp",3,"pollination"
"layer_1","Euphorbia_balsamifera_m","layer_1","Themnothorax_hesperius",3,"pollination"
"layer_1","Euphorbia_balsamifera_m","layer_1","Thomisus_cf_onustus",1,"pollination"
"layer_1","Euphorbia_balsamifera_m","layer_1","Thysanoptera_sp_1",68,"pollination"
"layer_1","Euphorbia_balsamifera_m","layer_1","Thysanoptera_sp_7",17,"pollination"
"layer_1","Euphorbia_lamarckii","layer_1","Camponotus_feae",31,"pollination"
"layer_1","Euphorbia_lamarckii","layer_1","Dasytes_subaenescens",1,"pollination"
"layer_1","Euphorbia_lamarckii","layer_1","Estheria_simonyi",1,"pollination"
"layer_1","Euphorbia_lamarckii","layer_1","Eucera_gracilipes",1,"pollination"
"layer_1","Euphorbia_lamarckii","layer_1","Eumerus_nivariae",2,"pollination"
"layer_1","Fagonia_albiflora","layer_1","Anaspis_proteus",22,"pollination"
"layer_1","Fagonia_albiflora","layer_1","Anthophora_alluaudi",1,"pollination"
"layer_1","Fagonia_albiflora","layer_1","Camponotus_feae",3,"pollination"
"layer_1","Fagonia_albiflora","layer_1","Lasioglossum_loetum",5,"pollination"
"layer_1","Fagonia_albiflora","layer_1","Lasioglossum_viride",1,"pollination"
"layer_1","Fagonia_albiflora","layer_1","Thysanoptera_sp_2",45,"pollination"
"layer_1","Frankenia_laevis","layer_1","Camponotus_feae",8,"pollination"
"layer_1","Frankenia_laevis","layer_1","Chetogena_acuminata",1,"pollination"
"layer_1","Frankenia_laevis","layer_1","Hylaeus_ater",2,"pollination"
"layer_1","Kickxia_scoparia","layer_1","Lasioglossum_viride",1,"pollination"
"layer_1","Launaea_arborescens","layer_1","Dasytes_subaenescens",1,"pollination"
"layer_1","Launaea_arborescens","layer_1","Megaselia_sp_2",1,"pollination"
"layer_1","Launaea_arborescens","layer_1","Syritta_pipiens",1,"pollination"
"layer_1","Launaea_arborescens","layer_1","Urelliosoma_guimari",1,"pollination"
"layer_1","Lavendula_buchii","layer_1","Amegilla_quadrifasciata",2,"pollination"
"layer_1","Lavendula_buchii","layer_1","Anthophora_alluaudi",2,"pollination"
"layer_1","Lavendula_buchii","layer_1","Anthophora_orotavae",2,"pollination"
"layer_1","Lavendula_buchii","layer_1","Camponotus_feae",7,"pollination"
"layer_1","Lavendula_buchii","layer_1","Leptochilus_cruentatus",1,"pollination"
"layer_1","Lycium_intricatum","layer_1","Amegilla_canifrons",1,"pollination"
"layer_1","Lycium_intricatum","layer_1","Amegilla_quadrifasciata",1,"pollination"
"layer_1","Lycium_intricatum","layer_1","Anaspis_proteus",1,"pollination"
"layer_1","Lycium_intricatum","layer_1","Anthophora_alluaudi",11,"pollination"
"layer_1","Lycium_intricatum","layer_1","Anthophora_orotavae",1,"pollination"
"layer_1","Lycium_intricatum","layer_1","Camponotus_feae",2,"pollination"
"layer_1","Lycium_intricatum","layer_1","Lasioglossum_viride",3,"pollination"
"layer_1","Lycium_intricatum","layer_1","Themnothorax_hesperius",1,"pollination"
"layer_1","Nauplius_aquaticus","layer_1","Camponotus_feae",19,"pollination"
"layer_1","Nauplius_aquaticus","layer_1","Chloropidae_sp_5",4,"pollination"
"layer_1","Nauplius_aquaticus","layer_1","Thysanoptera_sp_2",21,"pollination"
"layer_1","Neochamaelea_pulverulenta","layer_1","Camponotus_feae",10,"pollination"
"layer_1","Parolinia_intermedia","layer_1","Anaspis_proteus",19,"pollination"
"layer_1","Parolinia_intermedia","layer_1","Anthophora_alluaudi",7,"pollination"
"layer_1","Parolinia_intermedia","layer_1","Camponotus_feae",3,"pollination"
"layer_1","Parolinia_intermedia","layer_1","Dasytes_cf_subaenescens",1,"pollination"
"layer_1","Parolinia_intermedia","layer_1","Dasytes_subaenescens",7,"pollination"
"layer_1","Parolinia_intermedia","layer_1","Estheria_simonyi",9,"pollination"
"layer_1","Parolinia_intermedia","layer_1","Eucera_gracilipes",5,"pollination"
"layer_1","Parolinia_intermedia","layer_1","Lasioglossum_viride",16,"pollination"
"layer_1","Parolinia_intermedia","layer_1","Leptochilus_cruentatus",10,"pollination"
"layer_1","Parolinia_intermedia","layer_1","Meligethes_canariensis",11,"pollination"
"layer_1","Parolinia_intermedia","layer_1","Phthiria_simonyi",1,"pollination"
"layer_1","Parolinia_intermedia","layer_1","Syritta_pipiens",9,"pollination"
"layer_1","Parolinia_intermedia","layer_1","Thysanoptera_sp_7",1,"pollination"
"layer_1","Periploca_laevigata","layer_1","Agromyzidae_sp_2",1,"pollination"
"layer_1","Periploca_laevigata","layer_1","Anaspis_proteus",4,"pollination"
"layer_1","Periploca_laevigata","layer_1","Apis_mellifera",1,"pollination"
"layer_1","Periploca_laevigata","layer_1","Camponotus_feae",85,"pollination"
"layer_1","Periploca_laevigata","layer_1","Coccinella_miranda",1,"pollination"
"layer_1","Periploca_laevigata","layer_1","Estheria_simonyi",4,"pollination"
"layer_1","Periploca_laevigata","layer_1","Eumerus_latitarsis",2,"pollination"
"layer_1","Periploca_laevigata","layer_1","Geometridae_sp",1,"pollination"
"layer_1","Periploca_laevigata","layer_1","Musca_domestica",9,"pollination"
"layer_1","Periploca_laevigata","layer_1","Neodryophilus_cryptophagoides",1,"pollination"
"layer_1","Periploca_laevigata","layer_1","Sciaridae_sp",1,"pollination"
