"","node_from","node_to","avg_prop_isl","avg_sigm_predicted_offs","avg_sigm_predicted_diag","sigm_cat","observed_link","pred_prob","sigm_cat_plot","pred_prob_alpha"
"1","Argyranthemum_frutescens","Agromyzidae_sp_1",0,0.81279062693571,0.952333547709204,"both↑",FALSE,0.882562087322457,"Both approaches",0.745551189198657
"2","Argyranthemum_frutescens","Agromyzidae_sp_2",0,0.806434112336046,NA,NA,FALSE,NA,NA,NA
"3","Argyranthemum_frutescens","Amegilla_canifrons",0,0.813837694880948,0.852300368135507,"both↑",FALSE,0.833069031508228,"Both approaches",0.638316234934493
"4","Argyranthemum_frutescens","Amegilla_quadrifasciata",0,0.844423543423835,0.830343820385816,"both↑",FALSE,0.837383681904825,"Both approaches",0.647664644127121
"5","Argyranthemum_frutescens","Ammophila_terminata",0,0.783468532062769,NA,NA,FALSE,NA,NA,NA
"6","Argyranthemum_frutescens","Anaspis_cf_canariensis",0,0.800837866090226,0.937853746986233,"both↑",FALSE,0.86934580653823,"Both approaches",0.716915914166165
"7","Argyranthemum_frutescens","Anaspis_proteus",0.142857142857143,NA,NA,NA,TRUE,NA,NA,NA
"8","Argyranthemum_frutescens","Anthophora_alluaudi",0,0.935398436371608,0.922978043669918,"both↑",FALSE,0.929188240020763,"Both approaches",0.846574520044986
"9","Argyranthemum_frutescens","Anthophora_orotavae",0,0.778023535459433,0.827870722419309,"both↑",FALSE,0.802947128939371,"Both approaches",0.573052112701971
"10","Argyranthemum_frutescens","Apis_mellifera",0.142857142857143,NA,NA,NA,TRUE,NA,NA,NA
"11","Argyranthemum_frutescens","Aprostocetus_occidentalis",0,0.847014248669273,0.88090904641861,"both↑",FALSE,0.863961647543941,"Both approaches",0.705250236345206
"12","Argyranthemum_frutescens","Aprostocetus_sp_2",0,0.753593216204772,0.921582034279621,"both↑",FALSE,0.837587625242197,"Both approaches",0.648106521358092
"13","Argyranthemum_frutescens","Araneidae_sp_1",0,0.743392968176445,0.815058685129285,"both↑",FALSE,0.779225826652865,"Both approaches",0.521655957747874
"14","Argyranthemum_frutescens","Araneidae_sp_2",0,0.735417103023777,0.790576032705667,"both↑",FALSE,0.762996567864722,"Both approaches",0.486492563706898
"15","Argyranthemum_frutescens","Attagenus_wollastoni",0.142857142857143,NA,NA,NA,TRUE,NA,NA,NA
"16","Argyranthemum_frutescens","Attalus_pallipes",0,0.876413380472002,0.956225905727394,"both↑",FALSE,0.916319643099698,"Both approaches",0.818692560049346
"17","Argyranthemum_frutescens","Attalus_ruficollis",0,0.752553602043906,NA,NA,FALSE,NA,NA,NA
"18","Argyranthemum_frutescens","Attalus_rugifrons",0.142857142857143,NA,NA,NA,TRUE,NA,NA,NA
"19","Argyranthemum_frutescens","Aulacoderus_canariensis",0.142857142857143,NA,NA,NA,TRUE,NA,NA,NA
"20","Argyranthemum_frutescens","Bassus_sp",0,0.883493964433087,0.963456498509463,"both↑",FALSE,0.923475231471275,"Both approaches",0.834196334854429
"21","Argyranthemum_frutescens","Blaesoxipha_sp_1",0,0.791996510670686,0.854747000908322,"both↑",FALSE,0.823371755789504,"Both approaches",0.617305470877259
