"","1","2","3","4","5","6","7"
"1",NA,57.4641820425,173.858830325,337.05548055,389.094179225,129.4144136,52.751492455
"2",57.4641820425,NA,116.460649125,284.2253518,339.3817762,172.763448,92.99956344
"3",173.858830325,116.460649125,NA,190.47459875,244.280590775,274.346546,200.274260075
"4",337.05548055,284.2253518,190.47459875,NA,305.24884735,455.676643375,376.892630125
"5",389.094179225,339.3817762,244.280590775,305.24884735,NA,437.371016375,390.00886975
"6",129.4144136,172.763448,274.346546,455.676643375,437.371016375,NA,80.11273198
"7",52.751492455,92.99956344,200.274260075,376.892630125,390.00886975,80.11273198,NA
