"","node_to","mean_sorensen_pollinators"
"178","Plagiolepis_sp_2",0.127272727272727
"179","Platypalpus_sp",1
"180","Platypalpus_sp_1",0
"181","Platypalpus_sp_2",NA
"182","Podalonia_sp",NA
"183","Proconura_sp_1",NA
"184","Proconura_sp_2",NA
"185","Pteromalus_sp_1",NA
"186","Pteromalus_sp_2",1
"187","Pteromalus_sp_3",0.5
"188","Pteromalus_sp_4",1
"189","Rondania_insularis",NA
"190","Sapromyza_sp",NA
"191","Sarcophaga_sp_1",NA
"192","Sarcophagidae_sp",NA
"193","Sarcophagidae_sp_2",NA
"194","Sarcophagidae_sp_3",NA
"195","Sarcophagidae_sp_4",NA
"196","Sarcophagidae_sp_5",0.327777777777778
"197","Sarcophagidae_sp_6",NA
"198","Sarcophagidae_sp_7",NA
"199","Sarcophagidae_sp_8",0
"200","Scaeva_albomaculata",0
"201","Scaptomyza_sp_2",NA
"202","Scenopinus_sp",0.666666666666667
"203","Sciaridae_sp",0.178571428571429
"204","Sciaridae_sp_1",0.166666666666667
"205","Sciaridae_sp_4",NA
"206","Scymnus_canariensis",NA
"207","Sepsis_sp",NA
"208","Sibinia_sericea",NA
"209","Spathulina_sicula",NA
"210","Sphaeniscus_filiolus",NA
"211","Sphecidae_sp",NA
"212","Stenoselma_sp",NA
"213","Stomorhina_lunata",NA
"214","Synthesomyia_nudiseta",NA
"215","Syritta_pipiens",0.133333333333333
"216","Tachina_canariensis",0.333333333333333
"217","Tachinidae_sp_1",NA
"218","Tachyagetes_aemulans",NA
"219","Tapinoma_nigerrimum",NA
"220","Tephritidae_sp_1",NA
"221","Tethina_marmorata",NA
"222","Tethinidae_sp_1",NA
"223","Tethinidae_sp_2",NA
"224","Tethinidae_sp_3",NA
"225","Tetramesa_sp",NA
"226","Thaumatomyia_notata",NA
"227","Themnothorax_hesperius",0.285714285714286
"228","Themnothorax_productus",NA
"229","Themnothorax_risii",NA
"230","Thomisus_cf_globosum",NA
"231","Thomisus_cf_onustus",0.166666666666667
"232","Thyreus_sp_aff_ramosus",NA
"233","Thyridanthrax_indigenus",NA
"234","Thysanoptera_sp",NA
"235","Thysanoptera_sp_1",0.510740740740741
"236","Thysanoptera_sp_2",0.264021164021164
"237","Thysanoptera_sp_3",0
"238","Thysanoptera_sp_4",NA
"239","Thysanoptera_sp_7",NA
"240","Torymoides_lindbergi",NA
"241","Trixoscelis_sp",NA
"242","Troglops_sp",NA
"243","Tropinota_squalida",NA
"244","Trupanea_augur",NA
"245","Urelliosoma_guimari",0.888888888888889
"246","Urellliosoma_sp",NA
"247","Vanessa_Cardui",NA
"248","Vestitohalictus_sp",NA
"249","Villa_nigriceps",NA
