emln_id,train_layer,test_layer,jaccard_pollinators,jaccard_plants,jaccard_edges
60,1,1,1,1,1
60,1,2,0.3559322033898305,0.631578947368421,0.2537313432835821
60,1,3,0.20270270270270271,0.5294117647058824,0.10526315789473684
60,1,4,0.1774193548387097,0.4,0.10687022900763359
60,1,5,0.20689655172413793,0.35294117647058826,0.09243697478991597
60,1,6,0.16666666666666666,0.4375,0.08633093525179857
60,1,7,0.08955223880597014,0.23529411764705882,0.032
60,1,8,0.12121212121212122,0.25,0.032520325203252036
60,1,9,0.025974025974025976,0.2777777777777778,0.007194244604316547
60,1,10,0.043478260869565216,0.21052631578947367,0.0078125
60,1,11,0.2,0.4375,0.10256410256410256
60,1,12,0.1724137931034483,0.4,0.08620689655172414
60,1,13,0.15625,0.5294117647058824,0.10144927536231885
60,1,14,0.19298245614035087,0.4117647058823529,0.10317460317460317
60,2,1,0.3559322033898305,0.631578947368421,0.2537313432835821
60,2,2,1,1,1
60,2,3,0.2375,0.47619047619047616,0.09090909090909091
60,2,4,0.22058823529411764,0.375,0.1118421052631579
60,2,5,0.23076923076923078,0.2727272727272727,0.08450704225352113
60,2,6,0.23076923076923078,0.4,0.06707317073170732
60,2,7,0.09210526315789473,0.18181818181818182,0.033783783783783786
60,2,8,0.12,0.19047619047619047,0.03424657534246575
60,2,9,0.047058823529411764,0.21739130434782608,0.012345679012345678
60,2,10,0.0379746835443038,0.16666666666666666,0.013245033112582781
60,2,11,0.24242424242424243,0.4,0.09285714285714286
60,2,12,0.16417910447761194,0.3684210526315789,0.07142857142857142
60,2,13,0.2,0.55,0.06666666666666667
60,2,14,0.14705882352941177,0.38095238095238093,0.07236842105263158
60,3,1,0.20270270270270271,0.5294117647058824,0.10526315789473684
60,3,2,0.2375,0.47619047619047616,0.09090909090909091
60,3,3,1,1,1
60,3,4,0.35294117647058826,0.75,0.2158273381294964
60,3,5,0.2535211267605634,0.2777777777777778,0.06944444444444445
60,3,6,0.2535211267605634,0.35294117647058826,0.08024691358024691
60,3,7,0.13580246913580246,0.3125,0.033783783783783786
60,3,8,0.14814814814814814,0.3333333333333333,0.04861111111111111
60,3,9,0.053763440860215055,0.2777777777777778,0.006134969325153374
60,3,10,0.04597701149425287,0.2777777777777778,0.006578947368421052
60,3,11,0.1375,0.35294117647058826,0.05517241379310345
60,3,12,0.11538461538461539,0.23529411764705882,0.056338028169014086
60,3,13,0.2236842105263158,0.4444444444444444,0.07975460122699386
60,3,14,0.16,0.3333333333333333,0.07236842105263158
60,4,1,0.1774193548387097,0.4,0.10687022900763359
60,4,2,0.22058823529411764,0.375,0.1118421052631579
60,4,3,0.35294117647058826,0.75,0.2158273381294964
60,4,4,1,1,1
60,4,5,0.30357142857142855,0.25,0.08264462809917356
60,4,6,0.30357142857142855,0.3157894736842105,0.06293706293706294
60,4,7,0.13432835820895522,0.2777777777777778,0.04
60,4,8,0.1323529411764706,0.29411764705882354,0.04065040650406504
60,4,9,0.05128205128205128,0.19047619047619047,0.007142857142857143
60,4,10,0.041666666666666664,0.25,0.007751937984496124
60,4,11,0.13636363636363635,0.3157894736842105,0.06557377049180328
60,4,12,0.14516129032258066,0.21052631578947367,0.06722689075630252
60,4,13,0.2833333333333333,0.3333333333333333,0.07746478873239436
60,4,14,0.16393442622950818,0.4444444444444444,0.07692307692307693
60,5,1,0.20689655172413793,0.35294117647058826,0.09243697478991597
60,5,2,0.23076923076923078,0.2727272727272727,0.08450704225352113
60,5,3,0.2535211267605634,0.2777777777777778,0.06944444444444445
60,5,4,0.30357142857142855,0.25,0.08264462809917356
60,5,5,1,1,1
60,5,6,0.4,0.6666666666666666,0.25688073394495414
60,5,7,0.12307692307692308,0.2857142857142857,0.036036036036036036
60,5,8,0.1746031746031746,0.3076923076923077,0.056074766355140186
60,5,9,0.039473684210526314,0.3333333333333333,0.008
60,5,10,0.043478260869565216,0.25,0.008771929824561403
60,5,11,0.14285714285714285,0.17647058823529413,0.045454545454545456
60,5,12,0.1724137931034483,0.2,0.04672897196261682
60,5,13,0.2542372881355932,0.35294117647058826,0.09523809523809523
60,5,14,0.1724137931034483,0.3125,0.059322033898305086
60,6,1,0.16666666666666666,0.4375,0.08633093525179857
60,6,2,0.23076923076923078,0.4,0.06707317073170732
60,6,3,0.2535211267605634,0.35294117647058826,0.08024691358024691
60,6,4,0.30357142857142855,0.3157894736842105,0.06293706293706294
60,6,5,0.4,0.6666666666666666,0.25688073394495414
60,6,6,1,1,1
60,6,7,0.12307692307692308,0.2857142857142857,0.03816793893129771
60,6,8,0.1746031746031746,0.3076923076923077,0.046875
60,6,9,0.039473684210526314,0.3333333333333333,0.013793103448275862
60,6,10,0.02857142857142857,0.25,0.014925373134328358
60,6,11,0.14285714285714285,0.25,0.046153846153846156
60,6,12,0.19298245614035087,0.2,0.05555555555555555
60,6,13,0.23333333333333334,0.4375,0.08163265306122448
60,6,14,0.13333333333333333,0.4,0.03546099290780142
60,7,1,0.08955223880597014,0.23529411764705882,0.032
60,7,2,0.09210526315789473,0.18181818181818182,0.033783783783783786
60,7,3,0.13580246913580246,0.3125,0.033783783783783786
