"","node_from","node_to","n","mean_pred","sd_pred","p_value"
"1","Argyranthemum_frutescens","Agromyzidae_sp_1",7,0.54223695088933,0.0575335405147186,0.100119532207182
"2","Argyranthemum_frutescens","Amegilla_canifrons",7,0.441644087246192,0.114992600237114,0.227948782195773
"3","Argyranthemum_frutescens","Amegilla_quadrifasciata",15,0.511603457660712,0.0812945699642715,0.589115734562561
"4","Argyranthemum_frutescens","Ammophila_terminata",6,0.50237676280987,0.00841440793215404,0.51981391397615
"5","Argyranthemum_frutescens","Anthophora_alluaudi",28,0.573713214121655,0.108946367051964,0.00132818526804491
"6","Argyranthemum_frutescens","Anthophora_orotavae",15,0.541160053245126,0.0671956266903484,0.0325448524863454
"7","Argyranthemum_frutescens","Aprostocetus_occidentalis",13,0.486835237191944,0.130318896873287,0.72202240999991
"8","Argyranthemum_frutescens","Araneidae_sp_1",5,0.455835017421773,0.0854347041753147,0.312053818595654
"9","Argyranthemum_frutescens","Araneidae_sp_2",6,0.492372865356783,0.0127761940938789,0.203515540951673
"10","Argyranthemum_frutescens","Bassus_sp",5,0.507025192646126,0.0234668769727868,0.539894084065228
"11","Argyranthemum_frutescens","Blaesoxipha_sp_1",6,0.477641252767053,0.048357640729055,0.308773253761246
"12","Argyranthemum_frutescens","Bracon_sp",7,0.536344217603946,0.121844926989421,0.460044944595093
"13","Argyranthemum_frutescens","Chalicodoma_canescens",5,0.502657760757357,0.00143800245378984,0.0144612700457071
"14","Argyranthemum_frutescens","Chetogena_acuminata",17,0.483388981351044,0.0456948482185632,0.153387263755204
"15","Argyranthemum_frutescens","Chloropidae_sp",7,0.549639401749697,0.114531881333621,0.295168839634413
"16","Argyranthemum_frutescens","Chloropidae_sp_4",7,0.478242399433755,0.0641719558090811,0.404248799558173
"17","Argyranthemum_frutescens","Chloropidae_sp_5",11,0.474613054017488,0.057730632925724,0.175390041916436
"18","Argyranthemum_frutescens","Coccinella_miranda",5,0.491499292634304,0.0513244988620346,0.729897109086994
"19","Argyranthemum_frutescens","Crematogaster_alluaudi",6,0.507510290018459,0.0223359502409513,0.44764431934223
"20","Argyranthemum_frutescens","Dinarmoides_spilopterus",7,0.579221679688992,0.0924399102651704,0.0638929424551526
"21","Argyranthemum_frutescens","Empididae_sp_1",5,0.498231723457559,0.0263739388015896,0.888083254367464
"22","Argyranthemum_frutescens","Eristalinus_taeniops",9,0.553078385845045,0.0610111915469336,0.0311335170140061
"23","Argyranthemum_frutescens","Estheria_simonyi",18,0.594833187652004,0.165612943313582,0.0264987875359172
"24","Argyranthemum_frutescens","Eucera_gracilipes",6,0.62390768261989,0.119502659049199,0.0519076409280786
"25","Argyranthemum_frutescens","Euderus_sp",9,0.595739897167477,0.0918759920538723,0.0140966818269807
"26","Argyranthemum_frutescens","Eumerus_latitarsis",13,0.499620490358929,0.150485011653508,0.992894454805274
