emln_id,train_layer,test_layer,specificity,precision,recall,f1_score,balanced_accuracy,mcc,train_layer_name,test_layer_name,avg_distance_m,distance_km,avg_sorensen_plants,avg_sorensen_pollinators,jaccard_pollinators,jaccard_plants,jaccard_edges,nrow_A,ncol_A,size_A,density_A,nrow_P,ncol_P,size_P,density_P,nrow_C,ncol_C,size_C,density_C
60,2,4,0.314814815,0.435056806,0.525925926,0.47596463,0.42037037,-0.163995724,Tenerife South,Fuerteventura,284225.3518,284.2253518,0.176717766,0.289279072,0.220588235,0.375,0.111842105,45,18,810,0.118518519,38,15,570,0.128070175,68,24,1632,0.093137255
60,2,5,0.419047619,0.485144928,0.542857143,0.511824366,0.480952381,-0.039893618,Tenerife South,Western Sahara,339381.7762,339.3817762,0.179400257,0.260113244,0.230769231,0.272727273,0.084507042,45,18,810,0.118518519,35,10,350,0.165714286,65,22,1430,0.099300699
60,2,6,0.316666667,0.498201663,0.666666667,0.568998991,0.491666667,-0.024372041,Tenerife South,El Hierro,172763.448,172.763448,0.103612257,0.261718768,0.230769231,0.4,0.067073171,45,18,810,0.118518519,35,10,350,0.225714286,65,20,1300,0.126153846
60,2,7,0.285714286,0.390343823,0.452380952,0.418261762,0.369047619,-0.268545023,Tenerife South,La Gomera,92999.56344,92.99956344,0.125442807,0.303092833,0.092105263,0.181818182,0.033783784,45,18,810,0.118518519,38,8,304,0.1875,76,22,1672,0.088516746
60,3,1,0.441176471,0.39501634,0.358823529,0.374822779,0.4,-0.200759888,Gran Canaria,Tenerife Teno,173858.8303,173.8588303,0.183533606,0.227772893,0.202702703,0.529411765,0.105263158,54,13,702,0.136752137,35,13,455,0.158241758,74,17,1258,0.120826709
60,3,2,0.386956522,0.517960509,0.652173913,0.576663163,0.519565217,0.038798028,Gran Canaria,Tenerife South,116460.6491,116.4606491,0.177512136,0.232609424,0.2375,0.476190476,0.090909091,54,13,702,0.136752137,45,18,810,0.118518519,80,21,1680,0.104761905
60,3,3,0.303846154,0.468203888,0.611538462,0.530179271,0.457692308,-0.089853773,Gran Canaria,Gran Canaria,0,0,0.193600421,0.334176869,1,1,1,54,13,702,0.136752137,54,13,702,0.136752137,54,13,702,0.136752137
60,3,4,0.2,0.468769834,0.703703704,0.562437951,0.451851852,-0.115419995,Gran Canaria,Fuerteventura,190474.5988,190.4745988,0.176717766,0.289279072,0.352941176,0.75,0.215827338,54,13,702,0.136752137,38,15,570,0.128070175,68,16,1088,0.127757353
60,3,5,0.352380952,0.527882455,0.719047619,0.608244531,0.535714286,0.074164392,Gran Canaria,Western Sahara,244280.5908,244.2805908,0.179400257,0.260113244,0.253521127,0.277777778,0.069444444,54,13,702,0.136752137,35,10,350,0.165714286,71,18,1278,0.112676056
60,3,6,0.438888889,0.384957715,0.344444444,0.361233621,0.391666667,-0.218259017,Gran Canaria,El Hierro,274346.546,274.346546,0.103612257,0.261718768,0.253521127,0.352941176,0.080246914,54,13,702,0.136752137,35,10,350,0.225714286,71,17,1207,0.134217067
60,3,7,0.3,0.384093059,0.428571429,0.403949544,0.364285714,-0.277743095,Gran Canaria,La Gomera,200274.2601,200.2742601,0.125442807,0.303092833,0.135802469,0.3125,0.033783784,54,13,702,0.136752137,38,8,304,0.1875,81,16,1296,0.114197531
60,4,1,0.194117647,0.506095884,0.823529412,0.626719163,0.508823529,0.018399844,Fuerteventura,Tenerife Teno,337055.4806,337.0554806,0.183533606,0.227772893,0.177419355,0.4,0.106870229,38,15,570,0.128070175,35,13,455,0.158241758,62,20,1240,0.105645161
60,4,2,0.295652174,0.513582586,0.739130435,0.605633046,0.517391304,0.033533639,Fuerteventura,Tenerife South,284225.3518,284.2253518,0.177512136,0.232609424,0.220588235,0.375,0.111842105,38,15,570,0.128070175,45,18,810,0.118518519,68,24,1632,0.093137255
60,4,3,0.226923077,0.509266664,0.8,0.622044839,0.513461538,0.029273929,Fuerteventura,Gran Canaria,190474.5988,190.4745988,0.193600421,0.334176869,0.352941176,0.75,0.215827338,38,15,570,0.128070175,54,13,702,0.136752137,68,16,1088,0.127757353
60,4,4,0.322222222,0.456140714,0.566666667,0.505191015,0.444444444,-0.115606268,Fuerteventura,Fuerteventura,0,0,0.176717766,0.289279072,1,1,1,38,15,570,0.128070175,38,15,570,0.128070175,38,15,570,0.128070175
60,4,5,0.328571429,0.549073649,0.80952381,0.653646374,0.569047619,0.151093646,Fuerteventura,Western Sahara,305248.8474,305.2488474,0.179400257,0.260113244,0.303571429,0.25,0.082644628,38,15,570,0.128070175,35,10,350,0.165714286,56,20,1120,0.108035714
60,4,6,0.294444444,0.49070149,0.666666667,0.563727795,0.480555556,-0.050868043,Fuerteventura,El Hierro,455676.6434,455.6766434,0.103612257,0.261718768,0.303571429,0.315789474,0.062937063,38,15,570,0.128070175,35,10,350,0.225714286,56,19,1064,0.134398496
60,4,7,0.319047619,0.442206061,0.538095238,0.484813628,0.428571429,-0.147342806,Fuerteventura,La Gomera,376892.6301,376.8926301,0.125442807,0.303092833,0.134328358,0.277777778,0.04,38,15,570,0.128070175,38,8,304,0.1875,67,18,1206,0.103648425
60,5,1,0.364705882,0.454753076,0.523529412,0.48590556,0.444117647,-0.114550705,Western Sahara,Tenerife Teno,389094.1792,389.0941792,0.183533606,0.227772893,0.206896552,0.352941176,0.092436975,35,10,350,0.165714286,35,13,455,0.158241758,58,17,986,0.120689655
60,5,2,0.343478261,0.484504258,0.608695652,0.538618756,0.476086957,-0.053918576,Western Sahara,Tenerife South,339381.7762,339.3817762,0.177512136,0.232609424,0.230769231,0.272727273,0.084507042,35,10,350,0.165714286,45,18,810,0.118518519,65,22,1430,0.099300699
60,5,3,0.280769231,0.50501668,0.730769231,0.59696895,0.505769231,0.010539725,Western Sahara,Gran Canaria,244280.5908,244.2805908,0.193600421,0.334176869,0.253521127,0.277777778,0.069444444,35,10,350,0.165714286,54,13,702,0.136752137,71,18,1278,0.112676056
60,5,4,0.292592593,0.42442142,0.518518519,0.466371906,0.405555556,-0.195688564,Western Sahara,Fuerteventura,305248.8474,305.2488474,0.176717766,0.289279072,0.303571429,0.25,0.082644628,35,10,350,0.165714286,38,15,570,0.128070175,56,20,1120,0.108035714
60,5,5,0.361904762,0.499367388,0.619047619,0.550768421,0.49047619,-0.024380938,Western Sahara,Western Sahara,0,0,0.179400257,0.260113244,1,1,1,35,10,350,0.165714286,35,10,350,0.165714286,35,10,350,0.165714286
60,5,6,0.2,0.474491632,0.716666667,0.57011568,0.458333333,-0.103946,Western Sahara,El Hierro,437371.0164,437.3710164,0.103612257,0.261718768,0.4,0.666666667,0.256880734,35,10,350,0.165714286,35,10,350,0.225714286,50,12,600,0.181666667
60,5,7,0.238095238,0.454479779,0.633333333,0.528471994,0.435714286,-0.142822628,Western Sahara,La Gomera,390008.8698,390.0088698,0.125442807,0.303092833,0.123076923,0.285714286,0.036036036,35,10,350,0.165714286,38,8,304,0.1875,65,14,910,0.121978022
60,6,1,0.182352941,0.427303047,0.6,0.497732491,0.391176471,-0.248476417,El Hierro,Tenerife Teno,129414.4136,129.4144136,0.183533606,0.227772893,0.166666667,0.4375,0.086330935,35,10,350,0.225714286,35,13,455,0.158241758,60,16,960,0.144791667
60,6,2,0.217391304,0.480319567,0.72173913,0.576544375,0.469565217,-0.072798054,El Hierro,Tenerife South,172763.448,172.763448,0.177512136,0.232609424,0.230769231,0.4,0.067073171,35,10,350,0.225714286,45,18,810,0.118518519,65,20,1300,0.126153846
60,6,3,0.157692308,0.46704552,0.734615385,0.570678176,0.446153846,-0.138456396,El Hierro,Gran Canaria,274346.546,274.346546,0.193600421,0.334176869,0.253521127,0.352941176,0.080246914,35,10,350,0.225714286,54,13,702,0.136752137,71,17,1207,0.134217067
60,6,4,0.288888889,0.423813911,0.518518519,0.465642276,0.403703704,-0.200420641,El Hierro,Fuerteventura,455676.6434,455.6766434,0.176717766,0.289279072,0.303571429,0.315789474,0.062937063,35,10,350,0.225714286,38,15,570,0.128070175,56,19,1064,0.134398496
60,6,5,0.376190476,0.47057749,0.552380952,0.506782979,0.464285714,-0.073629345,El Hierro,Western Sahara,437371.0164,437.3710164,0.179400257,0.260113244,0.4,0.666666667,0.256880734,35,10,350,0.225714286,35,10,350,0.165714286,50,12,600,0.181666667
60,6,6,0.394444444,0.396787803,0.388888889,0.391473266,0.391666667,-0.217688194,El Hierro,El Hierro,0,0,0.103612257,0.261718768,1,1,1,35,10,350,0.225714286,35,10,350,0.225714286,35,10,350,0.225714286
60,6,7,0.404761905,0.329954432,0.285714286,0.304869364,0.345238095,-0.311803395,El Hierro,La Gomera,80112.73198,80.11273198,0.125442807,0.303092833,0.123076923,0.285714286,0.038167939,35,10,350,0.225714286,38,8,304,0.1875,65,14,910,0.143956044
60,7,1,0.594117647,0.547112805,0.470588235,0.503645379,0.532352941,0.067282934,La Gomera,Tenerife Teno,52751.49246,52.75149246,0.183533606,0.227772893,0.089552239,0.235294118,0.032,38,8,304,0.1875,35,13,455,0.158241758,67,17,1139,0.109745391
60,7,2,0.369565217,0.430165706,0.473913043,0.450621675,0.42173913,-0.15826955,La Gomera,Tenerife South,92999.56344,92.99956344,0.177512136,0.232609424,0.092105263,0.181818182,0.033783784,38,8,304,0.1875,45,18,810,0.118518519,76,22,1672,0.088516746
60,7,3,0.242307692,0.480438113,0.7,0.569591611,0.471153846,-0.066312156,La Gomera,Gran Canaria,200274.2601,200.2742601,0.193600421,0.334176869,0.135802469,0.3125,0.033783784,38,8,304,0.1875,54,13,702,0.136752137,81,16,1296,0.114197531
60,7,4,0.244444444,0.373232953,0.448148148,0.406958571,0.346296296,-0.315621213,La Gomera,Fuerteventura,376892.6301,376.8926301,0.176717766,0.289279072,0.134328358,0.277777778,0.04,38,8,304,0.1875,38,15,570,0.128070175,67,18,1206,0.103648425
60,7,5,0.314285714,0.495416718,0.671428571,0.569798356,0.492857143,-0.016608355,La Gomera,Western Sahara,390008.8698,390.0088698,0.179400257,0.260113244,0.123076923,0.285714286,0.036036036,38,8,304,0.1875,35,10,350,0.165714286,65,14,910,0.121978022
60,7,6,0.188888889,0.431279282,0.611111111,0.505231715,0.4,-0.226991319,La Gomera,El Hierro,80112.73198,80.11273198,0.103612257,0.261718768,0.123076923,0.285714286,0.038167939,38,8,304,0.1875,35,10,350,0.225714286,65,14,910,0.143956044
60,7,7,0.323809524,0.435525364,0.519047619,0.472972234,0.421428571,-0.161583805,La Gomera,La Gomera,0,0,0.125442807,0.303092833,1,1,1,38,8,304,0.1875,38,8,304,0.1875,38,8,304,0.1875
