emln_id,train_layer,test_layer,specificity,precision,recall,f1_score,balanced_accuracy,mcc,train_layer_name,test_layer_name,avg_distance_m,distance_km,avg_sorensen_plants,avg_sorensen_pollinators,jaccard_pollinators,jaccard_plants,jaccard_edges,nrow_A,ncol_A,size_A,density_A,nrow_P,ncol_P,size_P,density_P,nrow_C,ncol_C,size_C,density_C
60,1,1,0.370588235,0.441706531,0.482352941,0.459275136,0.426470588,-0.152398034,Tenerife Teno,Tenerife Teno,0,0,0.183533606,0.227772893,1,1,1,35,13,455,0.158241758,35,13,455,0.158241758,35,13,455,0.158241758
60,1,2,0.247826087,0.506298678,0.769565217,0.610601299,0.508695652,0.018266196,Tenerife Teno,Tenerife South,57464.18204,57.46418204,0.177512136,0.232609424,0.355932203,0.631578947,0.253731343,35,13,455,0.158241758,45,18,810,0.118518519,59,19,1121,0.119536128
60,1,3,0.334615385,0.437630885,0.515384615,0.472910763,0.425,-0.153692139,Tenerife Teno,Gran Canaria,173858.8303,173.8588303,0.193600421,0.334176869,0.202702703,0.529411765,0.105263158,35,13,455,0.158241758,54,13,702,0.136752137,74,17,1258,0.120826709
60,1,4,0.344444444,0.444313804,0.518518519,0.477861632,0.431481481,-0.141963243,Tenerife Teno,Fuerteventura,337055.4806,337.0554806,0.176717766,0.289279072,0.177419355,0.4,0.106870229,35,13,455,0.158241758,38,15,570,0.128070175,62,20,1240,0.105645161
60,1,5,0.2,0.514540362,0.847619048,0.640276702,0.523809524,0.061999979,Tenerife Teno,Western Sahara,389094.1792,389.0941792,0.179400257,0.260113244,0.206896552,0.352941176,0.092436975,35,13,455,0.158241758,35,10,350,0.165714286,58,17,986,0.120689655
60,1,6,0.227777778,0.463162503,0.661111111,0.544132125,0.444444444,-0.130239186,Tenerife Teno,El Hierro,129414.4136,129.4144136,0.103612257,0.261718768,0.166666667,0.4375,0.086330935,35,13,455,0.158241758,35,10,350,0.225714286,60,16,960,0.144791667
60,1,7,0.066666667,0.41374195,0.657142857,0.507619103,0.361904762,-0.347961127,Tenerife Teno,La Gomera,52751.49246,52.75149246,0.125442807,0.303092833,0.089552239,0.235294118,0.032,35,13,455,0.158241758,38,8,304,0.1875,67,17,1139,0.109745391
60,2,1,0.288235294,0.429559571,0.529411765,0.473423944,0.408823529,-0.191194834,Tenerife South,Tenerife Teno,57464.18204,57.46418204,0.183533606,0.227772893,0.355932203,0.631578947,0.253731343,45,18,810,0.118518519,35,13,455,0.158241758,59,19,1121,0.119536128
60,2,2,0.339130435,0.496267357,0.643478261,0.559070362,0.491304348,-0.022461356,Tenerife South,Tenerife South,0,0,0.177512136,0.232609424,1,1,1,45,18,810,0.118518519,45,18,810,0.118518519,45,18,810,0.118518519
60,2,3,0.2,0.477193395,0.726923077,0.575783155,0.463461538,-0.091297032,Tenerife South,Gran Canaria,116460.6491,116.4606491,0.193600421,0.334176869,0.2375,0.476190476,0.090909091,45,18,810,0.118518519,54,13,702,0.136752137,80,21,1680,0.104761905
