emln_id,train_layer,test_layer,lambda,k,TP,FN,TN,FP,specificity,precision,recall,f1_score,balanced_accuracy,mcc,train_layer_name,test_layer_name,diagonal
60,1,1,0.01,2,8,6,7,7,0.5,0.5333333333333333,0.5714285714285714,0.5517241379310344,0.5357142857142857,0.07161148740394328,Tenerife Teno site 1,Tenerife Teno site 1,TRUE
60,1,2,0.01,2,11,8,6,13,0.3157894736842105,0.4583333333333333,0.5789473684210527,0.5116279069767442,0.4473684210526316,-0.1091089451179962,Tenerife Teno site 1,Tenerife Teno site 2,FALSE
60,1,3,0.01,2,13,6,4,15,0.21052631578947367,0.4642857142857143,0.6842105263157895,0.5531914893617021,0.4473684210526316,-0.11952286093343936,Tenerife Teno site 1,Tenerife South site 2,FALSE
60,1,4,0.01,2,8,6,8,6,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.14285714285714285,Tenerife Teno site 1,Tenerife South site 1,FALSE
60,1,5,0.01,2,3,8,5,6,0.45454545454545453,0.3333333333333333,0.2727272727272727,0.3,0.36363636363636365,-0.2773500981126146,Tenerife Teno site 1,Gran Canaria site 2,FALSE
60,1,6,0.01,2,12,3,2,13,0.13333333333333333,0.48,0.8,0.6,0.4666666666666667,-0.08944271909999159,Tenerife Teno site 1,Gran Canaria site 1,FALSE
60,1,7,0.01,2,2,9,5,6,0.45454545454545453,0.25,0.18181818181818182,0.2105263157894737,0.3181818181818182,-0.37796447300922725,Tenerife Teno site 1,Fuerteventura site 2,FALSE
60,1,8,0.01,2,5,6,6,5,0.5454545454545454,0.5,0.45454545454545453,0.47619047619047616,0.5,0,Tenerife Teno site 1,Fuerteventura site 1,FALSE
60,1,9,0.01,2,2,11,4,9,0.3076923076923077,0.18181818181818182,0.15384615384615385,0.16666666666666669,0.23076923076923078,-0.5449492609130661,Tenerife Teno site 1,Western Sahara site 2,FALSE
60,1,10,0.01,2,5,6,3,8,0.2727272727272727,0.38461538461538464,0.45454545454545453,0.41666666666666663,0.36363636363636365,-0.2773500981126146,Tenerife Teno site 1,Western Sahara site 1,FALSE
60,1,11,0.01,2,3,8,3,8,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,-0.45454545454545453,Tenerife Teno site 1,El Hierro site 2,FALSE
