"","node_from","mean_sorensen_plants"
"1","Argyranthemum_frutescens",1
"2","Argyranthemum_sp",1
"3","Asparagus_pastorianus",1
"4","Asphaltklee_bituminosa",1
"5","Ceballosia_fruticosa",1
"6","Ceropegia_dichotoma",1
"7","Ceropegia_fusca",1
"8","Euphorbia_balsamifera_f",1
"9","Euphorbia_balsamifera_m",1
"10","Euphorbia_lamarckii",1
"11","Euphorbia_regis_jubae",1
"12","Fagonia_albiflora",1
"13","Frankenia_laevis",1
"14","Helianthemum_canariensis",1
"15","Kickxia_heterophylla",1
"16","Kickxia_scoparia",1
"17","Launaea_arborescens",1
"18","Lavendula_buchii",1
"19","Lavendula_minutolii",1
"20","Lavendula_multifida",1
"21","Lotus_glaucus",1
"22","Lotus_lancerottensis",1
"23","Lotus_sessilifolius",1
"24","Lotus_sp",1
"25","Lotus_spartioides",1
"26","Lycium_intricatum",1
"27","Nauplius_aquaticus",1
"28","Nauplius_sp",1
"29","Neochamaelea_pulverulenta",1
"30","Parolinia_intermedia",1
"31","Periploca_laevigata",1
"32","Phagnalon_purpurascens",1
"33","Phagnalon_saxatile",1
"34","Plocama_pendula",1
"35","Rubia_fruticosa",1
"36","Salvia_aegyptiaca",1
"37","Satureja_kuegleri",1
"38","Schizogyne_sericea",1
"39","Zilla_spinosa",1
