"","node_from","mean_sorensen_plants"
"1","Argyranthemum_frutescens",0.252525252525253
"2","Argyranthemum_sp",NA
"3","Asparagus_pastorianus",NA
"4","Asphaltklee_bituminosa",0.140740740740741
"5","Ceballosia_fruticosa",0.4
"6","Ceropegia_dichotoma",NA
"7","Ceropegia_fusca",NA
"8","Euphorbia_balsamifera_f",0.124862494403098
"9","Euphorbia_balsamifera_m",0.175137031325561
"10","Euphorbia_lamarckii",0.1870531457499
"11","Euphorbia_regis_jubae",NA
"12","Fagonia_albiflora",0.152813852813853
"13","Frankenia_laevis",0.25
"14","Helianthemum_canariensis",0.0666666666666667
"15","Kickxia_heterophylla",0
"16","Kickxia_scoparia",0.111111111111111
"17","Launaea_arborescens",0.168131342796641
"18","Lavendula_buchii",NA
"19","Lavendula_minutolii",NA
"20","Lavendula_multifida",0.222222222222222
"21","Lotus_glaucus",NA
"22","Lotus_lancerottensis",NA
"23","Lotus_sessilifolius",NA
"24","Lotus_sp",NA
"25","Lotus_spartioides",NA
"26","Lycium_intricatum",0.190488264172475
"27","Nauplius_aquaticus",NA
"28","Nauplius_sp",NA
"29","Neochamaelea_pulverulenta",NA
"30","Parolinia_intermedia",NA
"31","Periploca_laevigata",0.181723753829017
"32","Phagnalon_purpurascens",NA
"33","Phagnalon_saxatile",0.25
"34","Plocama_pendula",0.316239316239316
"35","Rubia_fruticosa",0.189633514633515
"36","Salvia_aegyptiaca",0
"37","Satureja_kuegleri",0
"38","Schizogyne_sericea",0.186185383244207
"39","Zilla_spinosa",NA
