"","emln_id","train_layer","test_layer","specificity","precision","recall","f1_score","balanced_accuracy","mcc","train_layer_name","test_layer_name"
"1",60,1,1,0.370588235294118,0.441706530577004,0.482352941176471,0.459275135745724,0.426470588235294,-0.15239803388346,"Tenerife Teno","Tenerife Teno"
"2",60,1,2,0.247826086956522,0.506298678357502,0.769565217391304,0.610601298687982,0.508695652173913,0.018266195569685,"Tenerife Teno","Tenerife South"
"3",60,1,3,0.334615384615385,0.437630885426271,0.515384615384615,0.472910762744194,0.425,-0.153692139281072,"Tenerife Teno","Gran Canaria"
"4",60,1,4,0.344444444444444,0.444313804400011,0.518518518518518,0.477861632279167,0.431481481481481,-0.141963242898628,"Tenerife Teno","Fuerteventura"
"5",60,1,5,0.2,0.514540361599185,0.847619047619048,0.640276701855649,0.523809523809524,0.0619999792854869,"Tenerife Teno","Western Sahara"
"6",60,1,6,0.227777777777778,0.463162502997585,0.661111111111111,0.544132125438084,0.444444444444444,-0.130239185537365,"Tenerife Teno","El Hierro"
"7",60,1,7,0.0666666666666667,0.413741949859123,0.657142857142857,0.50761910346816,0.361904761904762,-0.347961127266935,"Tenerife Teno","La Gomera"
"8",60,2,1,0.288235294117647,0.429559570863919,0.529411764705882,0.473423944476576,0.408823529411765,-0.191194833873985,"Tenerife South","Tenerife Teno"
"9",60,2,2,0.339130434782609,0.496267356887613,0.643478260869565,0.559070361584293,0.491304347826087,-0.0224613563436719,"Tenerife South","Tenerife South"
"10",60,2,3,0.2,0.477193395486078,0.726923076923077,0.575783155301922,0.463461538461538,-0.0912970324399226,"Tenerife South","Gran Canaria"
"11",60,2,4,0.314814814814815,0.435056806202442,0.525925925925926,0.475964630447581,0.42037037037037,-0.163995723941143,"Tenerife South","Fuerteventura"
"12",60,2,5,0.419047619047619,0.485144927536232,0.542857142857143,0.51182436611008,0.480952380952381,-0.0398936177717098,"Tenerife South","Western Sahara"
"13",60,2,6,0.316666666666667,0.498201663071228,0.666666666666667,0.568998991177097,0.491666666666667,-0.0243720414921604,"Tenerife South","El Hierro"
"14",60,2,7,0.285714285714286,0.390343822843823,0.452380952380952,0.418261762291561,0.369047619047619,-0.268545022906566,"Tenerife South","La Gomera"
"15",60,3,1,0.441176470588235,0.395016339869281,0.358823529411765,0.374822778641237,0.4,-0.200759887508177,"Gran Canaria","Tenerife Teno"
"16",60,3,2,0.38695652173913,0.517960509472606,0.652173913043478,0.576663163264162,0.519565217391304,0.0387980279389123,"Gran Canaria","Tenerife South"
"17",60,3,3,0.303846153846154,0.468203887615652,0.611538461538462,0.530179270536464,0.457692307692308,-0.0898537733581002,"Gran Canaria","Gran Canaria"
"18",60,3,4,0.2,0.468769834344139,0.703703703703704,0.56243795127904,0.451851851851852,-0.115419995065877,"Gran Canaria","Fuerteventura"
"19",60,3,5,0.352380952380952,0.527882455034151,0.719047619047619,0.608244531361011,0.535714285714286,0.0741643918805918,"Gran Canaria","Western Sahara"
"20",60,3,6,0.438888888888889,0.384957715143474,0.344444444444444,0.361233620998487,0.391666666666667,-0.218259017107621,"Gran Canaria","El Hierro"
"21",60,3,7,0.3,0.384093058733791,0.428571428571429,0.403949544244575,0.364285714285714,-0.27774309520496,"Gran Canaria","La Gomera"
"22",60,4,1,0.194117647058824,0.506095883682091,0.823529411764706,0.626719163321792,0.508823529411765,0.0183998435150465,"Fuerteventura","Tenerife Teno"
"23",60,4,2,0.295652173913043,0.513582586414717,0.739130434782609,0.605633045847856,0.517391304347826,0.0335336390304754,"Fuerteventura","Tenerife South"
"24",60,4,3,0.226923076923077,0.509266664314579,0.8,0.622044838583183,0.513461538461539,0.0292739286654142,"Fuerteventura","Gran Canaria"
"25",60,4,4,0.322222222222222,0.456140713861302,0.566666666666667,0.505191014970165,0.444444444444444,-0.11560626847941,"Fuerteventura","Fuerteventura"
"26",60,4,5,0.328571428571429,0.549073649052097,0.80952380952381,0.653646373891657,0.569047619047619,0.151093646366414,"Fuerteventura","Western Sahara"
"27",60,4,6,0.294444444444444,0.4907014900808,0.666666666666667,0.563727794554118,0.480555555555556,-0.0508680433263204,"Fuerteventura","El Hierro"
"28",60,4,7,0.319047619047619,0.442206061499165,0.538095238095238,0.484813628399391,0.428571428571429,-0.147342805546912,"Fuerteventura","La Gomera"
"29",60,5,1,0.364705882352941,0.454753075871497,0.523529411764706,0.48590555958977,0.444117647058824,-0.1145507052714,"Western Sahara","Tenerife Teno"
"30",60,5,2,0.343478260869565,0.484504258031707,0.608695652173913,0.538618756211606,0.476086956521739,-0.0539185760096188,"Western Sahara","Tenerife South"
"31",60,5,3,0.280769230769231,0.505016679575503,0.730769230769231,0.596968949509272,0.505769230769231,0.0105397251596998,"Western Sahara","Gran Canaria"
"32",60,5,4,0.292592592592593,0.424421420083185,0.518518518518518,0.4663719055876,0.405555555555556,-0.195688564429926,"Western Sahara","Fuerteventura"
"33",60,5,5,0.361904761904762,0.499367387734704,0.619047619047619,0.55076842137648,0.49047619047619,-0.0243809377411671,"Western Sahara","Western Sahara"
"34",60,5,6,0.2,0.474491632250253,0.716666666666667,0.570115680393201,0.458333333333333,-0.103946000203754,"Western Sahara","El Hierro"
"35",60,5,7,0.238095238095238,0.454479779119657,0.633333333333333,0.52847199411937,0.435714285714286,-0.142822628200271,"Western Sahara","La Gomera"
"36",60,6,1,0.182352941176471,0.427303047194352,0.6,0.497732490613943,0.391176470588235,-0.248476416707643,"El Hierro","Tenerife Teno"
"37",60,6,2,0.217391304347826,0.480319566606331,0.721739130434783,0.576544374857765,0.469565217391304,-0.0727980535869997,"El Hierro","Tenerife South"
"38",60,6,3,0.157692307692308,0.467045519867414,0.734615384615385,0.570678175760154,0.446153846153846,-0.138456396392318,"El Hierro","Gran Canaria"
"39",60,6,4,0.288888888888889,0.42381391062172,0.518518518518518,0.465642276360935,0.403703703703704,-0.200420641424161,"El Hierro","Fuerteventura"
"40",60,6,5,0.376190476190476,0.4705774897617,0.552380952380952,0.506782979396608,0.464285714285714,-0.0736293446908915,"El Hierro","Western Sahara"
"41",60,6,6,0.394444444444444,0.396787802840434,0.388888888888889,0.391473266144319,0.391666666666667,-0.217688194277749,"El Hierro","El Hierro"
