"","train_layer","test_layer","itr","correlation","p_value"
"1",1,1,1,-0.140738534444982,0.521835466107825
"2",1,1,2,-0.29335662894213,0.174290773687848
"3",1,1,3,0.128850413474606,0.539323540381329
"4",1,1,4,-0.0773662794582419,0.725685246409614
"5",1,1,5,-0.362321252316731,0.0974998103032038
"6",1,1,6,0.0217444503894094,0.923482407039587
"7",1,1,7,-0.00915730211087903,0.965348266844537
"8",1,1,8,-0.235270494785345,0.304595251709575
"9",1,1,9,-0.17168574104519,0.469210128068765
"10",1,1,10,-0.0983954211731998,0.647371358191635
"11",1,2,1,-0.116385336204819,0.51215447679568
"12",1,2,2,-0.126168355603372,0.477076158544778
"13",1,2,3,-0.0336026802709176,0.850359412332383
"14",1,2,4,-0.022177041506703,0.897846770761379
"15",1,2,5,-0.098773509663641,0.590690792132653
"16",1,2,6,-0.0600578096486724,0.748258762767723
"17",1,2,7,-0.0844516230581604,0.634883841972957
"18",1,2,8,-0.177349583420805,0.30809958034275
"19",1,2,9,-0.34561632963738,0.0419935274093546
"20",1,2,10,-0.270598394819722,0.110436815343455
"21",1,3,1,-0.0242546299131741,0.877306846223695
"22",1,3,2,-0.0048452640136813,0.977625686988514
"23",1,3,3,-0.0189858568704955,0.915126790822324
"24",1,3,4,-0.00511184001562424,0.976749834600804
"25",1,3,5,0.0583530919018675,0.735325123149041
"26",1,3,6,0.0605215803865534,0.721968310213587
"27",1,3,7,0.0139689358858176,0.934601196234309
"28",1,3,8,0.0878800085306988,0.605010600012666
"29",1,3,9,0.0909486944519435,0.603343902340686
"30",1,3,10,-0.115255163305168,0.478828222075005
"31",1,4,1,0.0406439643187399,0.81393357368907
"32",1,4,2,0.0625013522508125,0.717256525898785
"33",1,4,3,-0.161167399596195,0.33371730386222
"34",1,4,4,-0.0347450072213496,0.831449655765245
"35",1,4,5,-0.0935126356026492,0.560881665073977
"36",1,4,6,-0.0612907437577139,0.707141202374971
"37",1,4,7,-0.0268013875964006,0.878533936766438
"38",1,4,8,-0.0711365797148829,0.680134729019398
"39",1,4,9,-0.012481734656945,0.939068186322292
"40",1,4,10,-0.00771721692480664,0.963323327723618
"41",1,5,1,0.243164009840354,0.172700128490446
"42",1,5,2,0.172017733828125,0.315771710241445
"43",1,5,3,0.268050705690671,0.131499355039205
"44",1,5,4,0.263892253350417,0.144448950168217
"45",1,5,5,0.0855234473462956,0.625206396878168
"46",1,5,6,0.221947048965835,0.230137729452158
"47",1,5,7,0.203953488923065,0.288591720326414
"48",1,5,8,0.415906253275733,0.0199625386631904
"49",1,5,9,0.406992016692436,0.0207891216938659
"50",1,5,10,0.216448693972929,0.242186360630614
"51",1,6,1,0.0471911565930439,0.847865412918288
"52",1,6,2,0.113756962226757,0.653110523840992
